,genes,description,MF Terms,syngo,syndb,synsysnet,cortex,striatum,fetal,ngn2,Lit Sum,Exp Sum,All Sum
0,LAMC1,laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492],['extracellular matrix constituent conferring elasticity'],1,0,0,0,0,0,1,1,1,2
225,ACTBL2,actin beta like 2 [Source:HGNC Symbol;Acc:HGNC:17780],"['protein kinase binding', 'ATP binding', 'structural constituent of postsynaptic actin cytoskeleton']",1,0,0,1,1,1,1,1,4,5
226,NUMB,NUMB endocytic adaptor protein [Source:HGNC Symbol;Acc:HGNC:8060],"['cadherin binding', 'alpha-catenin binding', 'beta-catenin binding']",1,0,0,1,0,0,0,1,1,2
227,ATP6V1C1,ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856],"['protein binding', 'proton-transporting ATPase activity, rotational mechanism']",1,1,1,1,1,0,1,3,3,6
228,SCRIB,scribble planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:30377],['cadherin binding'],1,1,0,1,0,1,1,2,3,5
229,RPS5,ribosomal protein S5 [Source:HGNC Symbol;Acc:HGNC:10426],"['protein binding', 'mRNA binding', 'rRNA binding', 'structural constituent of ribosome']",1,0,0,1,1,1,1,1,4,5
230,RPLP0,ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371],"['protein binding', 'structural constituent of ribosome', 'large ribosomal subunit rRNA binding']",1,1,0,1,1,1,1,2,4,6
231,GABRA5,gamma-aminobutyric acid type A receptor subunit alpha5 [Source:HGNC Symbol;Acc:HGNC:4079],"['GABA-gated chloride ion channel activity', 'inhibitory extracellular ligand-gated ion channel activity', 'transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential', 'GABA receptor binding', 'GABA-A receptor activity', 'benzodiazepine receptor activity']",1,0,1,0,0,0,0,2,0,2
232,CDKL5,cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411],"['small GTPase binding', 'cyclin-dependent protein serine/threonine kinase activity', 'ATP binding']",1,0,0,1,1,0,0,1,2,3
233,EIF4G2,eukaryotic translation initiation factor 4 gamma 2 [Source:HGNC Symbol;Acc:HGNC:3297],"['cadherin binding', 'mRNA binding', 'translation initiation factor activity']",1,0,0,1,0,1,1,1,3,4
234,PHB,prohibitin [Source:HGNC Symbol;Acc:HGNC:8912],"['histone deacetylase binding', 'complement component C3b binding', 'complement component C3a binding', 'proteinase activated receptor binding', 'transcription corepressor activity', 'protein heterodimerization activity', 'protein C-terminus binding']",1,1,1,1,1,1,1,3,4,7
235,ITGB4,integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158],"['insulin-like growth factor I binding', 'G protein-coupled receptor binding', 'integrin binding', 'neuregulin binding']",1,0,0,0,0,0,0,1,0,1
236,SYT5,synaptotagmin 5 [Source:HGNC Symbol;Acc:HGNC:11513],"['calcium-dependent phospholipid binding', 'calcium ion binding', 'syntaxin binding', 'phosphatidylinositol-4,5-bisphosphate binding', 'clathrin binding', 'phosphatidylserine binding', 'protein heterodimerization activity']",1,1,1,1,1,0,1,3,3,6
237,RPS28,ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:10418],"['protein binding', 'RNA binding', 'structural constituent of ribosome']",1,0,0,1,0,0,0,1,1,2
238,CDH9,cadherin 9 [Source:HGNC Symbol;Acc:HGNC:1768],"['cadherin binding', 'calcium ion binding']",1,0,1,1,0,0,0,2,1,3
239,VAMP2,vesicle associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:12643],"['calmodulin binding', 'phospholipid binding', 'SNAP receptor activity', 'calcium-dependent protein binding', 'syntaxin-1 binding', 'protein self-association']",1,1,1,1,1,1,1,3,4,7
240,ROR2,receptor tyrosine kinase like orphan receptor 2 [Source:HGNC Symbol;Acc:HGNC:10257],"['coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway', 'Wnt-protein binding', 'mitogen-activated protein kinase kinase kinase binding', 'ATP binding', 'metal ion binding', 'transmembrane receptor protein tyrosine kinase activity']",1,0,0,0,0,0,0,1,0,1
241,MARCKSL1,MARCKS like 1 [Source:HGNC Symbol;Acc:HGNC:7142],"['calmodulin binding', 'actin filament binding']",1,1,1,1,1,1,1,3,4,7
242,SLC3A2,solute carrier family 3 member 2 [Source:HGNC Symbol;Acc:HGNC:11026],"['catalytic activity', 'calcium:sodium antiporter activity', 'cadherin binding', 'double-stranded RNA binding', 'aromatic amino acid transmembrane transporter activity', 'L-leucine transmembrane transporter activity', 'L-alanine transmembrane transporter activity']",1,1,1,1,0,1,1,3,3,6
243,SYT2,synaptotagmin 2 [Source:HGNC Symbol;Acc:HGNC:11510],"['calcium-dependent phospholipid binding', 'calcium ion binding', 'syntaxin binding', 'inositol 1,3,4,5 tetrakisphosphate binding', 'clathrin binding', 'phosphatidylserine binding']",1,1,1,1,1,0,0,3,2,5
244,DGKQ,diacylglycerol kinase theta [Source:HGNC Symbol;Acc:HGNC:2856],"['NAD+ kinase activity', 'activating transcription factor binding', 'diacylglycerol kinase activity', 'kinase binding', 'transmembrane receptor protein tyrosine kinase activator activity', 'ATP binding', 'metal ion binding', 'phospholipase binding']",1,0,0,1,1,0,0,1,2,3
245,HOMER3,homer scaffold protein 3 [Source:HGNC Symbol;Acc:HGNC:17514],"['identical protein binding', 'protein domain specific binding', 'G protein-coupled glutamate receptor binding', 'protein C-terminus binding']",1,0,1,0,0,0,1,2,1,3
246,COMT,catechol-O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:2228],"['catechol O-methyltransferase activity', 'protein binding', 'magnesium ion binding', 'L-dopa O-methyltransferase activity', 'orcinol O-methyltransferase activity']",1,0,0,0,0,0,1,1,1,2
247,RPL26,ribosomal protein L26 [Source:HGNC Symbol;Acc:HGNC:10327],"['protein binding', ""mRNA 5'-UTR binding"", 'structural constituent of ribosome']",1,0,0,1,1,1,1,1,4,5
248,EEF1A2,eukaryotic translation elongation factor 1 alpha 2 [Source:HGNC Symbol;Acc:HGNC:3192],"['GTP binding', 'protein kinase binding', 'GTPase activity', 'translation elongation factor activity']",1,1,1,1,1,1,1,3,4,7
249,SV2B,synaptic vesicle glycoprotein 2B [Source:HGNC Symbol;Acc:HGNC:16874],"['protein binding', 'transmembrane transporter activity']",1,1,1,1,1,0,0,3,2,5
250,KCNQ5,potassium voltage-gated channel subfamily Q member 5 [Source:HGNC Symbol;Acc:HGNC:6299],"['calmodulin binding', 'delayed rectifier potassium channel activity']",1,0,0,1,0,0,0,1,1,2
251,RAB8B,"RAB8B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30273]","['TPR domain binding', 'GDP binding', 'GTPase activity', 'GTP binding', 'signaling receptor binding']",1,1,1,1,1,0,1,3,3,6
252,AGRN,agrin [Source:HGNC Symbol;Acc:HGNC:329],"['calcium ion binding', 'dystroglycan binding', 'heparan sulfate proteoglycan binding', 'chondroitin sulfate binding', 'extracellular matrix structural constituent', 'sialic acid binding', 'laminin binding', 'structural constituent of cytoskeleton']",1,1,1,0,0,0,1,3,1,4
253,LRRTM2,leucine rich repeat transmembrane neuronal 2 [Source:HGNC Symbol;Acc:HGNC:19409],['neurexin family protein binding'],1,0,0,0,0,0,0,1,0,1
254,MTOR,mechanistic target of rapamycin kinase [Source:HGNC Symbol;Acc:HGNC:3942],"['TFIIIC-class transcription factor complex binding', 'protein serine kinase activity', 'RNA polymerase III type 3 promoter sequence-specific DNA binding', 'protein domain specific binding', 'RNA polymerase III type 1 promoter sequence-specific DNA binding', 'protein kinase binding', 'ribosome binding', 'identical protein binding', 'RNA polymerase III type 2 promoter sequence-specific DNA binding', 'ATP binding', 'protein threonine kinase activity', 'phosphoprotein binding']",1,0,0,1,0,0,1,1,2,3
255,APBA1,amyloid beta precursor protein binding family A member 1 [Source:HGNC Symbol;Acc:HGNC:578],"['amyloid-beta binding', 'protein binding']",1,0,1,1,1,0,1,2,3,5
256,CPSF2,cleavage and polyadenylation specific factor 2 [Source:HGNC Symbol;Acc:HGNC:2325],"['protein binding', 'RNA binding']",1,0,0,0,0,0,1,1,1,2
257,NRCAM,neuronal cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:7994],"['ankyrin binding', 'protein binding involved in heterotypic cell-cell adhesion']",1,1,0,1,1,1,1,2,4,6
258,ARPC5L,actin related protein 2/3 complex subunit 5 like [Source:HGNC Symbol;Acc:HGNC:23366],['actin filament binding'],1,1,0,1,1,0,0,2,2,4
259,YWHAG,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma [Source:HGNC Symbol;Acc:HGNC:12852],"['protein domain specific binding', 'protein kinase C binding', 'protein kinase C inhibitor activity', 'insulin-like growth factor receptor binding', 'identical protein binding', 'RNA binding', 'receptor tyrosine kinase binding']",1,1,1,1,1,1,1,3,4,7
260,CNTNAP1,contactin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:8011],"['SH3 domain binding', 'signaling receptor activity']",1,1,1,1,1,0,1,3,3,6
261,NRG1,neuregulin 1 [Source:HGNC Symbol;Acc:HGNC:7997],"['cytokine activity', 'ErbB-2 class receptor binding', 'ErbB-3 class receptor binding', 'integrin binding', 'transmembrane receptor protein tyrosine kinase activator activity', 'growth factor activity', 'chemorepellent activity', 'receptor tyrosine kinase binding', 'transcription coregulator activity']",1,0,1,0,0,0,0,2,0,2
262,PTPRD,protein tyrosine phosphatase receptor type D [Source:HGNC Symbol;Acc:HGNC:9668],"['cell adhesion molecule binding', 'transmembrane receptor protein tyrosine phosphatase activity', 'signaling receptor binding']",1,1,0,1,1,1,1,2,4,6
263,SGIP1,SH3GL interacting endocytic adaptor 1 [Source:HGNC Symbol;Acc:HGNC:25412],"['microtubule binding', 'phospholipid binding', 'SH3 domain binding']",1,1,0,1,1,0,1,2,3,5
264,AAK1,AP2 associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:19679],"['protein serine kinase activity', 'protein threonine kinase activity', 'ATP binding', 'AP-2 adaptor complex binding', 'Notch binding']",1,1,1,1,1,1,1,3,4,7
265,SLC6A1,solute carrier family 6 member 1 [Source:HGNC Symbol;Acc:HGNC:11042],"['sodium:chloride symporter activity', 'gamma-aminobutyric acid:sodium symporter activity', 'identical protein binding', 'neurotransmitter binding', 'metal ion binding']",1,1,1,0,0,0,0,3,0,3
266,PPFIA4,PTPRF interacting protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:9248],['protein binding'],1,1,1,0,0,0,0,3,0,3
267,SYNJ1,synaptojanin 1 [Source:HGNC Symbol;Acc:HGNC:11503],"['phosphatidylinositol-3-phosphatase activity', 'SH3 domain binding', 'phosphatidylinositol-4-phosphate phosphatase activity', 'phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity', 'RNA binding']",1,1,1,1,1,0,1,3,3,6
268,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A [Source:HGNC Symbol;Acc:HGNC:16767],"['transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential', 'identical protein binding', 'glycine binding', 'calcium channel activity', 'protein phosphatase 2A binding', 'NMDA glutamate receptor activity']",1,0,0,0,0,0,0,1,0,1
269,RPL34,ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:10340],"['RNA binding', 'cadherin binding', 'structural constituent of ribosome']",1,0,0,1,1,0,1,1,3,4
270,APOE,apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613],"['phosphatidylcholine-sterol O-acyltransferase activator activity', 'phospholipid binding', 'heparan sulfate proteoglycan binding', 'metal chelating activity', 'lipoprotein particle binding', 'low-density lipoprotein particle receptor binding', 'heparin binding', 'protein homodimerization activity', 'antioxidant activity', 'structural molecule activity', 'amyloid-beta binding', 'tau protein binding', 'cholesterol transfer activity', 'very-low-density lipoprotein particle receptor binding']",1,1,1,0,0,0,1,3,1,4
271,MARK2,microtubule affinity regulating kinase 2 [Source:HGNC Symbol;Acc:HGNC:3332],"['protein kinase activator activity', 'protein serine kinase activity', 'lipid binding', 'cadherin binding', 'magnesium ion binding', 'ATP binding', 'tau-protein kinase activity', 'protein threonine kinase activity', 'RNA binding', 'tau protein binding']",1,1,0,1,1,1,1,2,4,6
272,DCC,DCC netrin 1 receptor [Source:HGNC Symbol;Acc:HGNC:2701],"['protein binding', 'netrin receptor activity']",1,0,0,0,0,1,0,1,1,2
273,ATP8A1,ATPase phospholipid transporting 8A1 [Source:HGNC Symbol;Acc:HGNC:13531],"['ATPase-coupled cation transmembrane transporter activity', 'protein binding', 'magnesium ion binding', 'phosphatidylserine flippase activity', 'ATP binding', 'ATPase activity']",1,1,1,1,0,0,1,3,2,5
274,SLC6A3,solute carrier family 6 member 3 [Source:HGNC Symbol;Acc:HGNC:11049],"['dopamine:sodium symporter activity', 'norepinephrine:sodium symporter activity', 'protein N-terminus binding', 'dopamine binding', 'metal ion binding', 'protein phosphatase 2A binding', 'protein-containing complex binding', 'protease binding', 'neurotransmitter transmembrane transporter activity', 'drug binding', 'signaling receptor binding']",1,0,1,0,1,0,0,2,1,3
275,ACTN2,actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164],"['ion channel binding', 'LIM domain binding', 'calcium ion binding', 'structural constituent of muscle', 'titin Z domain binding', 'phosphatidylinositol-4,5-bisphosphate binding', 'titin binding', 'FATZ binding', 'integrin binding', 'identical protein binding', 'actin filament binding', 'thyroid hormone receptor coactivator activity']",1,1,0,1,1,1,0,2,3,5
276,RAB35,"RAB35, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9774]","['protein binding', 'phosphatidylinositol-4,5-bisphosphate binding', 'GDP binding', 'GTPase activity', 'GTP binding']",1,1,1,1,1,1,1,3,4,7
277,MPP2,membrane palmitoylated protein 2 [Source:HGNC Symbol;Acc:HGNC:7220],['protein binding'],1,1,1,1,1,0,1,3,3,6
278,TRIM9,tripartite motif containing 9 [Source:HGNC Symbol;Acc:HGNC:16288],"['zinc ion binding', 'SNARE binding', 'protein domain specific binding', 'protein homodimerization activity', 'ubiquitin protein ligase activity']",1,1,0,1,0,1,0,2,2,4
279,ABI1,abl interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320],"['SH3 domain binding', 'cadherin binding', 'cytoskeletal protein binding', 'protein tyrosine kinase activator activity']",1,1,1,1,1,1,1,3,4,7
280,DPYSL3,dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015],"['SH3 domain binding', 'chondroitin sulfate binding', 'filamin binding', 'identical protein binding']",1,1,1,1,1,1,1,3,4,7
281,TACC3,transforming acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:HGNC:11524],['protein binding'],1,0,0,0,0,0,0,1,0,1
282,ABHD17B,"abhydrolase domain containing 17B, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:24278]",['palmitoyl-(protein) hydrolase activity'],1,0,0,0,0,0,0,1,0,1
283,CACNA1D,calcium voltage-gated channel subunit alpha1 D [Source:HGNC Symbol;Acc:HGNC:1391],"['ankyrin binding', 'high voltage-gated calcium channel activity', 'voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels', 'alpha-actinin binding', 'metal ion binding', 'voltage-gated calcium channel activity involved SA node cell action potential']",1,0,1,1,0,0,0,2,1,3
284,SYNE1,spectrin repeat containing nuclear envelope protein 1 [Source:HGNC Symbol;Acc:HGNC:17089],"['lamin binding', 'enzyme binding', 'protein homodimerization activity', 'actin filament binding', 'RNA binding', 'cytoskeleton-nuclear membrane anchor activity']",1,1,0,1,0,0,1,2,2,4
285,CAMKV,CaM kinase like vesicle associated [Source:HGNC Symbol;Acc:HGNC:28788],"['calmodulin binding', 'calmodulin-dependent protein kinase activity', 'ATP binding']",1,1,0,1,1,1,1,2,4,6
286,DLG5,discs large MAGUK scaffold protein 5 [Source:HGNC Symbol;Acc:HGNC:2904],"['signaling receptor complex adaptor activity', 'cytoskeletal protein binding', 'beta-catenin binding']",1,0,0,0,0,1,1,1,2,3
287,GRIA3,glutamate ionotropic receptor AMPA type subunit 3 [Source:HGNC Symbol;Acc:HGNC:4573],"['amyloid-beta binding', 'AMPA glutamate receptor activity']",1,0,1,1,1,1,0,2,3,5
288,GABRA4,gamma-aminobutyric acid type A receptor subunit alpha4 [Source:HGNC Symbol;Acc:HGNC:4078],"['GABA-gated chloride ion channel activity', 'inhibitory extracellular ligand-gated ion channel activity', 'transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential', 'GABA-A receptor activity', 'benzodiazepine receptor activity']",1,1,1,1,1,0,0,3,2,5
289,DACT1,dishevelled binding antagonist of beta catenin 1 [Source:HGNC Symbol;Acc:HGNC:17748],"['histone deacetylase binding', 'protein kinase A binding', 'RNA polymerase II transcription factor binding', 'protein kinase C binding', 'delta-catenin binding', 'beta-catenin binding']",1,0,0,0,0,0,0,1,0,1
290,CACNA1H,calcium voltage-gated channel subunit alpha1 H [Source:HGNC Symbol;Acc:HGNC:1395],"['voltage-gated sodium channel activity', 'metal ion binding', 'scaffold protein binding', 'low voltage-gated calcium channel activity']",1,0,0,0,0,0,0,1,0,1
291,SLC6A8,solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055],['creatine:sodium symporter activity'],1,0,1,0,0,0,0,2,0,2
292,LRRC4B,leucine rich repeat containing 4B [Source:HGNC Symbol;Acc:HGNC:25042],['signaling receptor binding'],1,0,0,1,1,0,0,1,2,3
293,ATP6V1G1,ATPase H+ transporting V1 subunit G1 [Source:HGNC Symbol;Acc:HGNC:864],"['ATPase binding', 'ATPase activity']",1,1,0,1,0,0,0,2,1,3
294,RPS15,ribosomal protein S15 [Source:HGNC Symbol;Acc:HGNC:10388],"['protein binding', 'DNA binding', 'structural constituent of ribosome', 'RNA binding']",1,1,0,1,1,0,0,2,2,4
295,SLC10A4,solute carrier family 10 member 4 [Source:HGNC Symbol;Acc:HGNC:22980],"['protein binding', 'bile acid:sodium symporter activity']",1,0,0,0,0,0,0,1,0,1
296,NTNG1,netrin G1 [Source:HGNC Symbol;Acc:HGNC:23319],['cell-cell adhesion mediator activity'],1,0,0,0,0,0,1,1,1,2
297,RPS17,ribosomal protein S17 [Source:HGNC Symbol;Acc:HGNC:10397],"['RNA binding', 'structural constituent of ribosome']",1,1,0,1,1,0,1,2,3,5
298,EXOC4,exocyst complex component 4 [Source:HGNC Symbol;Acc:HGNC:30389],"['small GTPase binding', 'PDZ domain binding', 'protein N-terminus binding']",1,1,1,1,1,1,1,3,4,7
299,CDK5,cyclin dependent kinase 5 [Source:HGNC Symbol;Acc:HGNC:1774],"['ErbB-2 class receptor binding', 'cyclin-dependent protein serine/threonine kinase activity', 'p53 binding', 'protein serine kinase activity', 'protein kinase binding', 'acetylcholine receptor activator activity', 'ErbB-3 class receptor binding', 'ephrin receptor binding', 'voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels', 'Hsp90 protein binding', 'ATP binding', 'tau-protein kinase activity', 'protein threonine kinase activity', 'tau protein binding']",1,1,0,1,1,1,1,2,4,6
300,ITGA3,integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139],"['protein domain specific binding', 'fibronectin binding', 'integrin binding', 'metal ion binding', 'protein heterodimerization activity', 'protease binding', 'laminin binding', 'collagen binding']",1,0,0,0,0,0,0,1,0,1
301,CAMK1,calcium/calmodulin dependent protein kinase I [Source:HGNC Symbol;Acc:HGNC:1459],"['calmodulin binding', 'calmodulin-dependent protein kinase activity', 'ATP binding']",1,0,1,0,0,0,0,2,0,2
302,CNTN1,contactin 1 [Source:HGNC Symbol;Acc:HGNC:2171],"['protein binding', 'carbohydrate binding']",1,1,1,1,1,1,1,3,4,7
303,GABRA3,gamma-aminobutyric acid type A receptor subunit alpha3 [Source:HGNC Symbol;Acc:HGNC:4077],"['GABA-gated chloride ion channel activity', 'inhibitory extracellular ligand-gated ion channel activity', 'protein binding', 'transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential', 'GABA-A receptor activity', 'benzodiazepine receptor activity']",1,0,1,1,0,1,1,2,3,5
304,ADAM22,ADAM metallopeptidase domain 22 [Source:HGNC Symbol;Acc:HGNC:201],"['integrin binding', 'metalloendopeptidase activity']",1,1,1,1,1,0,1,3,3,6
305,ANXA1,annexin A1 [Source:HGNC Symbol;Acc:HGNC:533],"['calcium-dependent phospholipid binding', 'double-stranded DNA helicase activity', 'calcium ion binding', 'single-stranded DNA binding', 'cadherin binding involved in cell-cell adhesion', 'calcium-dependent protein binding', 'DNA/DNA annealing activity', 'identical protein binding', 'phospholipase A2 inhibitor activity', 'single-stranded RNA binding', 'signaling receptor binding']",1,1,1,0,0,1,1,3,2,5
306,ADAM23,ADAM metallopeptidase domain 23 [Source:HGNC Symbol;Acc:HGNC:202],"['integrin binding', 'metalloendopeptidase activity']",1,1,1,1,1,0,0,3,2,5
307,CACNB4,calcium voltage-gated channel auxiliary subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:1404],"['protein binding', 'high voltage-gated calcium channel activity']",1,1,1,1,1,0,0,3,2,5
308,HTR7,5-hydroxytryptamine receptor 7 [Source:HGNC Symbol;Acc:HGNC:5302],"['protein binding', 'neurotransmitter receptor activity', 'G protein-coupled serotonin receptor activity']",1,0,1,0,0,0,0,2,0,2
309,CDH23,cadherin related 23 [Source:HGNC Symbol;Acc:HGNC:13733],"['cadherin binding', 'calcium ion binding']",1,0,1,0,0,0,0,2,0,2
310,PPP2CA,protein phosphatase 2 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9299],"['protein serine phosphatase activity', 'GABA receptor binding', 'metal ion binding', 'protein threonine phosphatase activity', 'tau protein binding', 'protein heterodimerization activity', 'protein C-terminus binding']",1,1,0,0,1,0,1,2,2,4
311,SYNJ2,synaptojanin 2 [Source:HGNC Symbol;Acc:HGNC:11504],"['RNA binding', 'phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity', 'SH3 domain binding']",1,1,1,0,0,0,0,3,0,3
312,PCBP2,poly(rC) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8648],"['ubiquitin protein ligase binding', 'mRNA binding', 'C-rich single-stranded DNA binding']",1,1,0,1,1,1,1,2,4,6
313,DAG1,dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666],"['SH2 domain binding', 'calcium ion binding', 'dystroglycan binding', 'virus receptor activity', 'structural constituent of muscle', 'laminin-1 binding', 'actin binding', 'tubulin binding', 'alpha-actinin binding', 'vinculin binding']",1,0,0,0,0,0,0,1,0,1
314,PAK1,p21 (RAC1) activated kinase 1 [Source:HGNC Symbol;Acc:HGNC:8590],"['protein serine kinase activity', 'protein kinase binding', 'ATP binding', 'protein threonine kinase activity', 'small GTPase binding', 'collagen binding']",1,1,0,1,0,1,1,2,3,5
315,GABRB2,gamma-aminobutyric acid type A receptor subunit beta2 [Source:HGNC Symbol;Acc:HGNC:4082],"['GABA-gated chloride ion channel activity', 'transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential', 'GABA-A receptor activity', 'inhibitory extracellular ligand-gated ion channel activity']",1,0,1,1,0,0,0,2,1,3
316,NTRK2,neurotrophic receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:8032],"['brain-derived neurotrophic factor binding', 'brain-derived neurotrophic factor-activated receptor activity', 'protein homodimerization activity', 'ATP binding', 'protease binding']",1,1,1,1,0,0,1,3,2,5
317,NAPA,NSF attachment protein alpha [Source:HGNC Symbol;Acc:HGNC:7641],"['protein-containing complex binding', 'soluble NSF attachment protein activity', 'syntaxin binding']",1,1,1,1,0,1,1,3,3,6
318,ADCY8,adenylate cyclase 8 [Source:HGNC Symbol;Acc:HGNC:239],"['calmodulin binding', 'actin binding', 'calcium- and calmodulin-responsive adenylate cyclase activity', 'protein homodimerization activity', 'ATP binding', 'metal ion binding', 'protein phosphatase 2A binding', 'protein heterodimerization activity']",1,0,1,1,0,0,0,2,1,3
319,MYO9A,myosin IXA [Source:HGNC Symbol;Acc:HGNC:7608],"['GTPase activator activity', 'actin binding', 'motor activity', 'ATP binding', 'metal ion binding']",1,0,0,1,1,0,1,1,3,4
320,KCNJ6,potassium inwardly rectifying channel subfamily J member 6 [Source:HGNC Symbol;Acc:HGNC:6267],"['protein binding', 'G-protein activated inward rectifier potassium channel activity']",1,0,1,0,0,0,0,2,0,2
321,PFN2,profilin 2 [Source:HGNC Symbol;Acc:HGNC:8882],"['actin monomer binding', 'phosphatidylinositol-4,5-bisphosphate binding', 'ATPase activity']",1,1,1,1,1,1,1,3,4,7
322,ITGB3,integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156],"['virus receptor activity', 'fibroblast growth factor binding', 'platelet-derived growth factor receptor binding', 'fibrinogen binding', 'neuregulin binding', 'fibronectin binding', 'vascular endothelial growth factor receptor 2 binding', 'insulin-like growth factor I binding', 'integrin binding', 'identical protein binding', 'extracellular matrix binding', 'coreceptor activity', 'protein disulfide isomerase activity', 'C-X3-C chemokine binding', 'protease binding']",1,0,0,0,0,0,0,1,0,1
323,GRID1,glutamate ionotropic receptor delta type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4575],"['ionotropic glutamate receptor activity', 'transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential']",1,0,0,0,0,0,1,1,1,2
324,HNRNPAB,heterogeneous nuclear ribonucleoprotein A/B [Source:HGNC Symbol;Acc:HGNC:5034],"['protein binding', 'mRNA binding']",1,0,0,0,0,1,1,1,2,3
325,EPN1,epsin 1 [Source:HGNC Symbol;Acc:HGNC:21604],"['clathrin binding', 'phospholipid binding']",1,0,0,1,0,1,1,1,3,4
326,ITPR3,"inositol 1,4,5-trisphosphate receptor type 3 [Source:HGNC Symbol;Acc:HGNC:6182]","['calcium ion binding', 'inositol 1,3,4,5 tetrakisphosphate binding', 'protein binding', 'phosphatidylinositol binding', 'inositol hexakisphosphate binding', 'inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity', 'inositol 1,4,5 trisphosphate binding']",1,0,0,1,0,0,0,1,1,2
327,HAP1,huntingtin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4812],"['ion channel binding', 'brain-derived neurotrophic factor binding', 'myosin binding', 'signaling receptor binding']",1,0,0,0,1,0,0,1,1,2
328,NSF,"N-ethylmaleimide sensitive factor, vesicle fusing ATPase [Source:HGNC Symbol;Acc:HGNC:8016]","['metal ion binding', 'protein kinase binding', 'protein-containing complex binding', 'syntaxin-1 binding', 'ATP binding', 'small GTPase binding', 'PDZ domain binding', 'ATPase activity', 'ionotropic glutamate receptor binding']",1,1,1,1,1,1,1,3,4,7
329,EFNB3,ephrin B3 [Source:HGNC Symbol;Acc:HGNC:3228],"['ephrin receptor binding', 'transmembrane-ephrin receptor activity', 'virus receptor activity']",1,0,0,1,0,0,0,1,1,2
330,STXBP5,syntaxin binding protein 5 [Source:HGNC Symbol;Acc:HGNC:19665],"['GTPase activator activity', 'small GTPase binding', 'myosin II binding', 'syntaxin-1 binding']",1,1,1,1,1,1,1,3,4,7
331,DROSHA,drosha ribonuclease III [Source:HGNC Symbol;Acc:HGNC:17904],"['DEAD/H-box RNA helicase binding', 'primary miRNA binding', 'ribonuclease III activity', 'double-stranded RNA binding', 'lipopolysaccharide binding', 'protein homodimerization activity', 'metal ion binding', 'R-SMAD binding']",1,0,0,0,0,0,0,1,0,1
332,DBN1,drebrin 1 [Source:HGNC Symbol;Acc:HGNC:2695],"['cadherin binding', 'actin filament binding', 'profilin binding']",1,1,1,1,1,1,1,3,4,7
