,genes,Synonym,avg_scores,syngo,syndb,synsysnet,cortex,striatum,fetal,ngn2,Lit Sum,Exp Sum,All Sum,SynSig,Synapse_Status,Synapse Percentile,training positive examples,name,Receptor_Channel,Kinase_Phosphatase,Ubiquitin_E3,Vesicle_Transporters,GTP_ATP Regulators,Nucleic Acid Binding,Translation,Membrane_Cell Adhesion,Other Regulators,Scaffolds_Adaptors,Cytoskeletal,Calcium Ion Binding,Other Enzymes,Other protein binders,unknown functions,Function Total,MF Terms,HGNC Accession
5426,MIER1,"['KIAA1610', 'hMI-ER1', 'MI-ER1']",4.0690229167014245,0,0,0,0,0,0,0,0,0,0,no,no,53.75939849624061,no,MIER1 transcriptional regulator ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"['RNA polymerase II repressing transcription factor binding', 'histone deacetylase binding', 'histone deacetylase activity', 'transcription corepressor activity']",HGNC:29657
5427,MIER2,['KIAA1193'],3.8711706230260163,0,0,0,0,0,0,0,0,0,0,no,no,25.247328848436887,no,MIER family member 2 ,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"['RNA polymerase II repressing transcription factor binding', 'histone deacetylase binding', 'histone deacetylase activity', 'transcription corepressor activity']",HGNC:29210
5428,MIER3,"['DKFZp781I1119', 'FLJ35954', 'DKFZp686L09111']",3.664900242640599,0,0,0,0,0,0,0,0,0,0,no,no,6.578947368421053,no,MIER family member 3 ,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"['RNA polymerase II repressing transcription factor binding', 'histone deacetylase binding', 'histone deacetylase activity', 'transcription corepressor activity']",HGNC:26678
5429,MIF,"['GLIF', 'GIF']",4.091997361169116,0,0,1,0,0,0,0,1,0,1,no,known,56.96478037198259,no,macrophage migration inhibitory factor ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['protease binding', 'phenylpyruvate tautomerase activity', 'cytokine activity', 'chemoattractant activity', 'identical protein binding', 'cytokine receptor binding', 'dopachrome isomerase activity']",HGNC:7097
5430,MIF4GD,"['SLIP1', 'MIFD', 'MGC45027', 'AD023']",3.931149533432527,0,0,0,0,0,0,0,0,0,0,no,no,33.86426592797784,no,MIF4G domain containing ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['identical protein binding', 'RNA binding', 'protein C-terminus binding', 'translation activator activity']",HGNC:24030
5431,MINK1,"['YSK2', 'MAP4K6', 'B55', 'MINK', 'ZC3']",4.165751812558857,0,1,1,1,1,0,1,2,3,5,no,known,66.39295607439652,no,misshapen like kinase 1 ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['protein threonine kinase activity', 'protein serine kinase activity', 'ATP binding', 'protein binding']",HGNC:17565
5432,MINPP1,['MIPP'],3.751090429657839,0,0,0,0,0,0,1,0,1,1,no,no,12.425801345468935,no,multiple inositol-polyphosphate phosphatase 1 ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['acid phosphatase activity', 'inositol-1,3,4,5,6-pentakisphosphate 3-phosphatase activity', 'bisphosphoglycerate 3-phosphatase activity', 'inositol hexakisphosphate 2-phosphatase activity', 'protein histidine phosphatase activity', 'protein binding', 'inositol-1,3,4,5-tetrakisphosphate 3-phosphatase activity']",HGNC:7102
5433,MIOS,"['Yulink', 'FLJ20323', 'Sea4', 'MIO']",3.771835286191148,0,0,0,1,0,0,1,0,2,2,no,no,14.256034823901858,no,meiosis regulator for oocyte development ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,['protein binding'],HGNC:21905
5434,MIPEP,['MIP'],4.104424632759291,0,0,0,0,0,1,1,0,2,2,no,no,58.73565492679066,no,mitochondrial intermediate peptidase ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['metal ion binding', 'metalloendopeptidase activity']",HGNC:7104
5435,MIS18A,"['B28', 'C21orf45', 'FASP1', 'C21orf46', 'hMis18alpha']",3.805302104129632,0,0,0,0,0,0,0,0,0,0,no,no,17.29323308270677,no,MIS18 kinetochore protein A ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['metal ion binding', 'identical protein binding']",HGNC:1286
5436,MIS18BP1,"['FLJ11186', 'M18BP1', 'KNL2', 'C14orf106', 'KIAA1903']",3.99739631916446,0,0,0,0,0,0,0,0,0,0,no,no,43.153937475267114,no,MIS18 binding protein 1 ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['DNA binding', 'protein binding']",HGNC:20190
5437,MISP,"['MISP1', 'Caprice', 'DKFZp686H18209', 'C19orf21']",4.124227467611783,0,0,0,0,0,0,0,0,0,0,no,no,61.535417491096155,no,mitotic spindle positioning ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,['actin filament binding'],HGNC:27000
5438,MITD1,['LOC129531'],3.8973098091956015,0,0,0,0,0,0,0,0,0,0,no,no,29.194697269489517,no,microtubule interacting and trafficking domain containing 1 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"['protein domain specific binding', 'phosphatidylinositol binding', 'identical protein binding']",HGNC:25207
5439,MITF,"['MI', 'WS2', 'bHLHe32', 'WS2A']",4.122638687073015,0,0,0,0,0,0,0,0,0,0,no,no,61.30787495053423,no,melanocyte inducing transcription factor ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['E-box binding', 'chromatin binding', 'protein dimerization activity', 'DNA-binding transcription activator activity, RNA polymerase II-specific', 'DNA-binding transcription repressor activity, RNA polymerase II-specific']",HGNC:7105
5440,MKI67,"['Ki-67', 'PPP1R105', 'MIB-1']",4.035235050020166,0,0,0,0,0,0,0,0,0,0,no,no,48.79303521962802,no,marker of proliferation Ki-67 ,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,"['DNA binding', 'RNA binding', 'protein C-terminus binding', 'ATP binding']",HGNC:7107
5441,MKKS,"['MKS', 'BBS6', 'KMS', 'HMCS']",Training Gene,0,0,0,0,0,0,0,0,0,0,yes,no,Training Gene,no,McKusick-Kaufman syndrome ,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,"['RNA polymerase II repressing transcription factor binding', 'unfolded protein binding', 'ATP binding']",HGNC:7108
5442,MKLN1,['TWA2'],4.211394288690608,0,0,0,0,0,0,0,0,0,0,no,no,70.73605065294817,no,,,,,,,,,,,,,,,,,,,
5443,MKNK1,['MNK1'],4.2023243855208,0,0,0,0,0,0,0,0,0,0,no,no,70.01385041551247,no,MAPK interacting serine/threonine kinase 1 ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,"['metal ion binding', 'calmodulin binding', 'protein threonine kinase activity', 'calcium-dependent protein serine/threonine kinase activity', 'protein serine kinase activity', 'calmodulin-dependent protein kinase activity', 'ATP binding']",HGNC:7110
5444,MKNK2,"['MNK2', 'GPRK7']",4.133008412962994,0,0,0,0,0,0,0,0,0,0,no,no,62.58409180846854,no,MAPK interacting serine/threonine kinase 2 ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,"['metal ion binding', 'calmodulin binding', 'protein threonine kinase activity', 'calcium-dependent protein serine/threonine kinase activity', 'protein serine kinase activity', 'calmodulin-dependent protein kinase activity', 'ATP binding']",HGNC:7111
5445,MKRN1,['RNF61'],4.120532911298125,0,0,0,0,0,0,0,0,0,0,no,no,60.95172140878511,no,makorin ring finger protein 1 ,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"['metal ion binding', 'RNA binding', 'ubiquitin protein ligase activity', 'protein binding']",HGNC:7112
5446,MKS1,"['FLJ20345', 'POC12', 'BBS13', 'MKS']",4.144926085376845,0,0,0,0,0,0,0,0,0,0,no,no,63.87020182034033,no,MKS transition zone complex subunit 1 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,['protein binding'],HGNC:7121
5447,MKX,"['C10orf48', 'IRXL1', 'MGC39616']",3.9420015307169813,0,0,0,0,0,0,0,0,0,0,no,no,35.536208943411154,no,mohawk homeobox ,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,"['DNA-binding transcription factor activity, RNA polymerase II-specific', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding']",HGNC:23729
5448,MLANA,"['MART-1', 'MART1']",3.4410080565647263,0,0,0,0,0,0,0,0,0,0,no,no,0.9893153937475268,no,melan-A ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,['protein binding'],HGNC:7124
5449,MLEC,['KIAA0152'],4.058652658471176,0,0,0,0,0,0,1,0,1,1,no,no,52.077562326869796,no,malectin ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['enzyme binding', 'carbohydrate binding']",HGNC:28973
5450,MLH1,"['HNPCC2', 'FCC2', 'HNPCC', 'COCA2']",4.518942980912146,0,0,0,1,0,0,0,0,1,1,yes,new,90.69054214483576,no,mutL homolog 1 ,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"['ATPase activity', 'single-stranded DNA binding', 'enzyme binding', 'MutSalpha complex binding', 'chromatin binding', 'guanine/thymine mispair binding', 'ATP binding']",HGNC:7127
5451,MLH3,[nan],Training Gene,0,0,0,0,0,0,0,0,0,0,yes,no,Training Gene,no,mutL homolog 3 ,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"['ATPase activity', 'centromeric DNA binding', 'chromatin binding', 'protein binding', 'satellite DNA binding', 'mismatched DNA binding', 'ATP binding']",HGNC:7128
5452,MLIP,"['C6orf142', 'MGC18257', 'CIP']",3.867763891374428,0,0,0,0,0,0,0,0,0,0,no,no,24.841709537000394,no,muscular LMNA interacting protein ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"['lamin binding', 'transcription corepressor activity']",HGNC:21355
5453,MLKL,['FLJ34389'],3.748687940797584,0,0,0,0,0,0,0,0,0,0,no,no,12.257617728531857,no,mixed lineage kinase domain like pseudokinase ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['JUN kinase kinase kinase activity', 'protein kinase binding', 'protein-containing complex binding', 'ATP binding']",HGNC:26617
5454,MLLT1,"['LTG19', 'ENL', 'YEATS1']",4.112604059101534,0,0,0,0,0,0,0,0,0,0,no,no,59.76454293628809,no,MLLT1 super elongation complex subunit ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,['protein binding'],HGNC:7134
5455,MLLT10,['AF10'],4.030348085217981,0,0,0,0,0,0,0,0,0,0,no,no,47.93233082706767,no,MLLT10 histone lysine methyltransferase DOT1L cofactor ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['metal ion binding', 'histone binding', 'DNA binding', 'nucleosome binding']",HGNC:16063
5456,MLLT11,['AF1Q'],4.112146159827007,0,0,0,0,0,0,0,0,0,0,no,no,59.695290858725755,no,MLLT11 transcription factor 7 cofactor ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,['protein binding'],HGNC:16997
5457,MLLT3,"['YEATS3', 'AF9', 'AF-9']",Training Gene,0,0,0,0,0,0,0,0,0,0,yes,no,Training Gene,no,MLLT3 super elongation complex subunit ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['DNA binding', 'chromatin binding', 'lysine-acetylated histone binding']",HGNC:7136
5458,MLPH,"['l(1)-3Rk', 'l1Rk3', 'Slac-2a', 'exophilin-3', 'ln']",4.060471077893019,0,0,0,0,0,0,0,0,0,0,no,no,52.38425009893154,no,melanophilin ,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,"['protein-macromolecule adaptor activity', 'metal ion binding', 'actin binding', 'small GTPase binding', 'myosin binding']",HGNC:29643
5459,MLST8,"['GBL', 'Lst8', 'GbetaL', 'Pop3']",4.345701250680919,0,0,0,0,0,0,1,0,1,1,no,no,81.56905421448357,no,"MTOR associated protein, LST8 homolog ",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['protein serine/threonine kinase activator activity', 'protein binding']",HGNC:24825
5460,MLX,"['MAD7', 'TCFL4', 'MXD7', 'bHLHd13']",4.116956742512294,0,0,0,0,0,0,0,0,0,0,no,no,60.59556786703601,no,MAX dimerization protein MLX ,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,"['RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'transcription factor binding', 'protein homodimerization activity', 'DNA-binding transcription repressor activity, RNA polymerase II-specific', 'protein heterodimerization activity']",HGNC:11645
5461,MLXIP,"['MONDOA', 'bHLHe36', 'MIR', 'KIAA0867']",3.8291562066910116,0,0,0,0,0,0,0,0,0,0,no,no,19.79620102888801,no,MLX interacting protein ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"['DNA-binding transcription activator activity, RNA polymerase II-specific', 'protein dimerization activity', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding']",HGNC:17055
5462,MLXIPL,"['CHREBP', 'MONDOB', 'MIO', 'WS-bHLH', 'bHLHd14', 'WBSCR14']",4.138788132197163,0,0,0,0,0,0,0,0,0,0,no,no,63.237039968341904,no,MLX interacting protein like ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"['transcription factor binding', 'DNA-binding transcription repressor activity, RNA polymerase II-specific', 'carbohydrate response element binding', 'protein heterodimerization activity']",HGNC:12744
5463,MLYCD,"['hMCD', 'MCD']",4.152140316051594,0,0,0,1,0,0,1,0,2,2,no,no,64.8397309062129,no,malonyl-CoA decarboxylase ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,['malonyl-CoA decarboxylase activity'],HGNC:7150
5464,MMAA,['cblA'],3.59617824405235,0,0,0,0,0,0,0,0,0,0,no,no,4.214483577364464,no,metabolism of cobalamin associated A ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['protein homodimerization activity', 'GTP binding', 'GTPase activity']",HGNC:18871
5465,MMAB,"['CFAP23', 'cblB']",Training Gene,0,0,0,0,1,0,0,0,1,1,yes,no,Training Gene,no,metabolism of cobalamin associated B ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['cob(I)yrinic acid a,c-diamide adenosyltransferase activity', 'cobalamin binding', 'ATP binding', 'protein binding']",HGNC:19331
5466,MMACHC,"['DKFZP564I122', 'cblC']",3.734332267712003,0,0,0,0,0,0,0,0,0,0,no,no,11.10011871784725,no,metabolism of cobalamin associated C ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['cobalamin binding', 'glutathione binding', 'FAD binding', 'protein homodimerization activity', 'demethylase activity', 'transferase activity', 'cyanocobalamin reductase (cyanide-eliminating) activity']",HGNC:24525
5467,MME,"['CD10', 'NEP', 'CALLA']",4.325956330997529,0,0,0,0,0,0,0,0,0,0,no,no,80.14444004748715,no,membrane metalloendopeptidase ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['zinc ion binding', 'phosphatidylserine binding', 'protein homodimerization activity', 'cardiolipin binding', 'oligopeptidase activity', 'metalloendopeptidase activity', 'exopeptidase activity', 'peptide binding']",HGNC:7154
5468,MMGT1,"['TMEM32', 'EMC5']",4.2150394652265035,0,0,0,0,1,0,0,0,1,1,no,no,71.01305896319747,no,membrane magnesium transporter 1 ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"['magnesium ion transmembrane transporter activity', 'cobalt ion transmembrane transporter activity', 'ferrous iron transmembrane transporter activity', 'protein binding']",HGNC:28100
5469,MMP14,['MT1-MMP'],4.0080486509504825,0,0,0,0,0,0,0,0,0,0,no,no,44.83577364463791,no,matrix metallopeptidase 14 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['integrin binding', 'metalloendopeptidase activity', 'metalloaminopeptidase activity', 'zinc ion binding']",HGNC:7160
5470,MMP15,"['MTMMP2', 'SMCP-2', 'MT2-MMP']",4.028650931884548,0,0,0,0,0,0,1,0,1,1,no,no,47.704788286505746,no,matrix metallopeptidase 15 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['zinc ion binding', 'enzyme activator activity', 'metalloaminopeptidase activity', 'protein binding', 'metalloendopeptidase activity']",HGNC:7161
5471,MMP16,"['MT3-MMP', 'DKFZp761D112', 'C8orf57']",4.331772645447686,0,0,0,0,0,0,0,0,0,0,no,no,80.61931143648594,no,matrix metallopeptidase 16 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['metalloendopeptidase activity', 'enzyme activator activity', 'metalloaminopeptidase activity', 'zinc ion binding']",HGNC:7162
5472,MMP2,"['CLG4', 'CLG4A', 'TBE-1']",4.115154596868828,0,0,0,0,0,0,1,0,1,1,no,no,60.21962801741196,no,matrix metallopeptidase 2 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['zinc ion binding', 'metalloendopeptidase activity', 'serine-type endopeptidase activity', 'protein binding']",HGNC:7166
5473,MMP27,[nan],Training Gene,0,0,0,0,0,0,0,0,0,0,yes,no,Training Gene,no,matrix metallopeptidase 27 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['metalloendopeptidase activity', 'zinc ion binding']",HGNC:14250
5474,MMP8,['CLG1'],Training Gene,0,0,0,0,0,0,0,0,0,0,yes,no,Training Gene,no,matrix metallopeptidase 8 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['metalloendopeptidase activity', 'serine-type endopeptidase activity', 'zinc ion binding']",HGNC:7175
5475,MMP9,['CLG4B'],3.9898662807514547,0,0,0,0,0,0,0,0,0,0,no,no,42.194301543332024,no,matrix metallopeptidase 9 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['zinc ion binding', 'serine-type endopeptidase activity', 'identical protein binding', 'collagen binding', 'metalloendopeptidase activity']",HGNC:7176
5476,MMRN1,"['EMILIN4', 'MMRN', 'ECM', 'GPIa*']",3.807272832391743,0,0,0,0,0,0,0,0,0,0,no,no,17.54056193114365,no,multimerin 1 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"['protein binding', 'calcium ion binding', 'extracellular matrix structural constituent']",HGNC:7178
5477,MMS19,"['MET18', 'CIAO4', 'MMS19L', 'hMMS19']",Training Gene,0,0,0,0,0,0,1,0,1,1,yes,no,Training Gene,no,"MMS19 homolog, cytosolic iron-sulfur assembly component ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"['enzyme binding', 'transcription coactivator activity', 'signaling receptor complex adaptor activity', 'estrogen receptor binding']",HGNC:13824
5478,MMS22L,"['dJ39B17.2', 'C6orf167']",3.998085719567893,0,0,0,0,0,0,0,0,0,0,no,no,43.282548476454295,no,"MMS22 like, DNA repair protein ",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,['protein binding'],HGNC:21475
5479,MNAT1,"['MAT1', 'RNF66']",4.345245469023565,0,0,0,0,0,0,0,0,0,0,no,no,81.49980213692125,no,MNAT1 component of CDK activating kinase ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['protein N-terminus binding', 'zinc ion binding', 'cyclin-dependent protein serine/threonine kinase activator activity']",HGNC:7181
5480,MND1,['GAJ'],Training Gene,0,0,0,0,0,0,0,0,0,0,yes,no,Training Gene,no,meiotic nuclear divisions 1 ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,['double-stranded DNA binding'],HGNC:24839
5481,MNDA,['PYHIN3'],4.103750428498541,0,0,0,0,0,0,0,0,0,0,no,no,58.636723387415906,no,myeloid cell nuclear differentiation antigen ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['double-stranded DNA binding', 'protein binding']",HGNC:7183
5482,MNT,"['MAD6', 'MXD6', 'bHLHd3', 'lncRNA-HAL', 'ROX']",4.157067857137605,0,0,0,0,0,1,0,0,1,1,no,no,65.47289275821132,no,MAX network transcriptional repressor ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['DNA-binding transcription repressor activity, RNA polymerase II-specific', 'chromatin binding', 'protein dimerization activity', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding']",HGNC:7188
5483,MNX1,"['SCRA1', 'HLXB9', 'HB9', 'HOXHB9']",3.6921329843414368,0,0,0,0,0,0,0,0,0,0,no,no,7.993668381480017,no,motor neuron and pancreas homeobox 1 ,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"['DNA-binding transcription factor activity, RNA polymerase II-specific', 'sequence-specific double-stranded DNA binding']",HGNC:4979
5484,MOAP1,"['MAP-1', 'PNMA4']",4.484645936268445,0,0,0,0,0,0,0,0,0,0,yes,new,89.29560743965176,no,modulator of apoptosis 1 ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,['ubiquitin protein ligase binding'],HGNC:16658
5485,MOB1A,"['Mats1', 'MOBKL1B', 'MOBK1B', 'C2orf6', 'FLJ10788', 'Mob4B', 'MOB1', 'FLJ11595']",4.078910680008999,0,0,0,0,0,0,0,0,0,0,no,no,55.20379897111199,no,MOB kinase activator 1A ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['metal ion binding', 'protein binding']",HGNC:16015
5486,MOB1B,"['MOB4A', 'MOBKL1A']",4.100971376222259,0,0,0,0,0,0,0,0,0,0,no,no,58.31024930747922,no,MOB kinase activator 1B ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['kinase binding', 'kinase activator activity', 'metal ion binding']",HGNC:29801
5487,MOB4,"['CGI-95', '2C4D', 'PREI3', 'PHOCN', 'DKFZP564M112', 'MOBKL3', 'MOB3']",4.000092492200331,0,0,0,1,1,1,1,0,4,4,no,no,43.5595567867036,no,"MOB family member 4, phocein ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['metal ion binding', 'protein binding']",HGNC:17261
5488,MOBP,[nan],Training Gene,0,0,0,1,1,0,0,0,2,2,yes,no,Training Gene,no,myelin associated oligodendrocyte basic protein ,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,"['small GTPase binding', 'structural constituent of myelin sheath', 'actin binding', 'myosin binding']",HGNC:7189
5489,MOCOS,"['FLJ20733', 'HMCS', 'MOS']",3.948482780093156,0,0,0,0,0,0,0,0,0,0,no,no,36.43648595172141,no,molybdenum cofactor sulfurase ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['Mo-molybdopterin cofactor sulfurase activity', 'molybdenum cofactor sulfurtransferase activity', 'protein binding', 'molybdenum ion binding', 'pyridoxal phosphate binding', 'lyase activity']",HGNC:18234
5490,MOCS1,['MOCOD'],3.7906683898059153,0,0,0,0,0,0,0,0,0,0,no,no,15.918084685397705,no,molybdenum cofactor synthesis 1 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['metal ion binding', ""GTP 3',8'-cyclase activity"", 'cyclic pyranopterin monophosphate synthase activity', 'GTP binding', '4 iron, 4 sulfur cluster binding']",HGNC:7190
5491,MOCS2,"['MOCS2B', 'MOCO1', 'MOCS2A']",4.096232941528089,0,0,0,0,0,0,0,0,0,0,no,no,57.64740799366839,no,molybdenum cofactor synthesis 2 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,['molybdopterin synthase activity'],HGNC:7193
5492,MOCS3,"['dJ914P20.3', 'UBA4']",3.802264240706127,0,0,0,1,0,0,1,0,2,2,no,no,16.986545310645035,no,molybdenum cofactor synthesis 3 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['thiosulfate sulfurtransferase activity', 'molybdopterin-synthase adenylyltransferase activity', 'metal ion binding', 'molybdopterin-synthase sulfurtransferase activity', 'protein binding', 'URM1 activating enzyme activity', 'ATP binding']",HGNC:15765
