Gene Symbol,Accession,Description,SumCoverage,SumNum Proteins,SumNum Unique Peptides,SumNum Peptides,SumNum PSMs,Score A2,Coverage A2,Num Peptides A2,Num PSM A2,Score A4,Coverage A4,Num Peptides A4,Num PSM A4,Num AAs,MW kDa,calc pI,,,,,,,,
LRFN3,Q9BTN0,Leucine-rich repeat and fibronectin type-III domain-containing protein 3 OS=Homo sapiens GN=LRFN3 PE=2 SV=1 - [LRFN3_HUMAN],7.96,1.0,3.0,3.0,9.0,58.6,7.96,3.0,5.0,6.82,5.57,2.0,4.0,628.0,66.2,7.24,,,,,,,,
CDK20,Q8IZL9-2,Isoform 2 of Cyclin-dependent kinase 20 OS=Homo sapiens GN=CDK20 - [CDK20_HUMAN],7.82,95.0,1.0,2.0,9.0,79.4,7.82,2.0,5.0,8.35,7.82,2.0,4.0,243.0,27.1,9.44,,,,,,,,
ANXA5,P08758,Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2 - [ANXA5_HUMAN],7.81,4.0,2.0,2.0,9.0,144.66,7.81,2.0,5.0,9.35,7.81,2.0,4.0,320.0,35.9,5.05,,,,,,,,
FUS,P35637-2,Isoform Short of RNA-binding protein FUS OS=Homo sapiens GN=FUS - [FUS_HUMAN],7.81,3.0,2.0,2.0,9.0,50.31,7.81,2.0,4.0,14.65,7.81,2.0,5.0,525.0,53.3,9.36,,,,,,,,
CPT2,P23786,"Carnitine O-palmitoyltransferase 2, mitochondrial OS=Homo sapiens GN=CPT2 PE=1 SV=2 - [CPT2_HUMAN]",7.75,1.0,5.0,5.0,9.0,67.77,3.95,2.0,3.0,11.83,7.75,5.0,6.0,658.0,73.7,8.18,,,,,,,,
ATG7,O95352,Ubiquitin-like modifier-activating enzyme ATG7 OS=Homo sapiens GN=ATG7 PE=1 SV=1 - [ATG7_HUMAN],7.54,9.0,4.0,4.0,9.0,104.66,6.4,3.0,4.0,8.98,7.54,4.0,5.0,703.0,77.9,6.24,,,,,,,,
FBXL18,Q96ME1-2,Isoform 2 of F-box/LRR-repeat protein 18 OS=Homo sapiens GN=FBXL18 - [FXL18_HUMAN],7.34,6.0,3.0,3.0,9.0,65.32,7.34,3.0,4.0,5.64,7.34,3.0,5.0,668.0,73.1,8.56,,,,,,,,
RP2,O75695,Protein XRP2 OS=Homo sapiens GN=RP2 PE=1 SV=4 - [XRP2_HUMAN],6.86,1.0,3.0,3.0,9.0,37.31,6.86,3.0,4.0,9.07,6.86,3.0,5.0,350.0,39.6,5.12,,,,,,,,
CSNK1A1,Q71TU5,"Casein kinase 1, alpha 1, isoform CRA_g OS=Homo sapiens GN=CSNK1A1 PE=2 SV=1 - [Q71TU5_HUMAN]",6.77,5.0,2.0,2.0,9.0,30.51,6.77,2.0,5.0,2.23,4.0,1.0,4.0,325.0,37.5,9.48,,,,,,,,
GBE1,Q04446,"1,4-alpha-glucan-branching enzyme OS=Homo sapiens GN=GBE1 PE=1 SV=3 - [GLGB_HUMAN]",6.27,2.0,3.0,3.0,9.0,47.75,6.27,3.0,5.0,4.07,6.27,3.0,4.0,702.0,80.4,6.32,,,,,,,,
CUL4A,Q13619-2,Isoform 2 of Cullin-4A OS=Homo sapiens GN=CUL4A - [CUL4A_HUMAN],6.07,2.0,1.0,3.0,9.0,99.46,6.07,3.0,5.0,10.73,6.07,3.0,4.0,659.0,76.8,7.18,,,,,,,,
TRAPPC10,P48553,Trafficking protein particle complex subunit 10 OS=Homo sapiens GN=TRAPPC10 PE=1 SV=2 - [TPC10_HUMAN],5.88,1.0,5.0,5.0,9.0,105.33,4.05,4.0,4.0,9.98,5.88,5.0,5.0,1259.0,142.1,6.04,,,,,,,,
ALDH1A1,P00352,Retinal dehydrogenase 1 OS=Homo sapiens GN=ALDH1A1 PE=1 SV=2 - [AL1A1_HUMAN],5.79,11.0,1.0,3.0,9.0,54.09,2.99,2.0,4.0,9.72,5.79,3.0,5.0,501.0,54.8,6.73,,,,,,,,
CDK16,E5RGN0,Cyclin-dependent kinase 16 (Fragment) OS=Homo sapiens GN=CDK16 PE=2 SV=1 - [E5RGN0_HUMAN],5.6,98.0,1.0,2.0,9.0,89.21,5.6,2.0,5.0,9.63,5.6,2.0,4.0,393.0,44.1,8.51,,,,,,,,
PSD2,Q9BQI7,PH and SEC7 domain-containing protein 2 OS=Homo sapiens GN=PSD2 PE=2 SV=3 - [PSD2_HUMAN],5.32,1.0,3.0,3.0,9.0,60.75,2.72,1.0,3.0,10.45,5.32,3.0,6.0,771.0,84.6,5.19,,,,,,,,
LAMP1,P11279,Lysosome-associated membrane glycoprotein 1 OS=Homo sapiens GN=LAMP1 PE=1 SV=3 - [LAMP1_HUMAN],4.8,2.0,2.0,2.0,9.0,32.28,4.8,2.0,4.0,10.28,4.8,2.0,5.0,417.0,44.9,8.75,,,,,,,,
GPR56,Q9Y653-2,Isoform 2 of G-protein coupled receptor 56 OS=Homo sapiens GN=GPR56 - [GPR56_HUMAN],4.66,39.0,3.0,3.0,9.0,66.67,3.2,2.0,4.0,11.49,4.66,3.0,5.0,687.0,77.0,8.44,,,,,,,,
FAM171B,Q6P995,Protein FAM171B OS=Homo sapiens GN=FAM171B PE=2 SV=3 - [F171B_HUMAN],4.6,2.0,3.0,3.0,9.0,128.38,4.6,3.0,4.0,11.71,4.6,3.0,5.0,826.0,92.1,8.65,,,,,,,,
NEK9,Q8TD19,Serine/threonine-protein kinase Nek9 OS=Homo sapiens GN=NEK9 PE=1 SV=2 - [NEK9_HUMAN],4.39,2.0,3.0,3.0,9.0,53.43,3.06,2.0,4.0,12.5,4.39,3.0,5.0,979.0,107.1,5.74,,,,,,,,
AARS2,Q5JTZ9,"Alanine--tRNA ligase, mitochondrial OS=Homo sapiens GN=AARS2 PE=1 SV=1 - [SYAM_HUMAN]",4.37,1.0,4.0,4.0,9.0,32.65,4.37,4.0,5.0,7.57,3.35,3.0,4.0,985.0,107.3,6.27,,,,,,,,
SEC16A,J3KNL6,Protein transport protein Sec16A OS=Homo sapiens GN=SEC16A PE=4 SV=1 - [J3KNL6_HUMAN],4.24,7.0,5.0,5.0,9.0,93.1,3.05,4.0,4.0,11.58,4.24,5.0,5.0,2357.0,251.7,5.8,,,,,,,,
CDC5L,Q99459,Cell division cycle 5-like protein OS=Homo sapiens GN=CDC5L PE=1 SV=2 - [CDC5L_HUMAN],4.11,1.0,3.0,3.0,9.0,79.97,4.11,3.0,5.0,5.84,4.11,3.0,4.0,802.0,92.2,8.18,,,,,,,,
FAM65A,Q6ZS17-2,Isoform 2 of Protein FAM65A OS=Homo sapiens GN=FAM65A - [FA65A_HUMAN],4.02,10.0,4.0,4.0,9.0,22.94,4.02,4.0,4.0,4.76,4.02,4.0,5.0,1219.0,131.8,6.28,,,,,,,,
PITPNM1,O00562-2,Isoform 2 of Membrane-associated phosphatidylinositol transfer protein 1 OS=Homo sapiens GN=PITPNM1 - [PITM1_HUMAN],3.46,2.0,3.0,3.0,9.0,56.81,3.46,3.0,4.0,11.8,3.46,3.0,5.0,1243.0,134.7,5.95,,,,,,,,
ADCY9,O60503,Adenylate cyclase type 9 OS=Homo sapiens GN=ADCY9 PE=1 SV=4 - [ADCY9_HUMAN],3.4,2.0,4.0,4.0,9.0,120.66,2.88,3.0,4.0,13.32,3.4,4.0,5.0,1353.0,150.6,7.34,,,,,,,,
PCSK1,P29120-2,Isoform 2 of Neuroendocrine convertase 1 OS=Homo sapiens GN=PCSK1 - [NEC1_HUMAN],2.83,3.0,2.0,2.0,9.0,79.45,2.83,2.0,4.0,8.4,2.83,2.0,5.0,706.0,79.0,6.2,,,,,,,,
SMG1,Q96Q15-4,Isoform 4 of Serine/threonine-protein kinase SMG1 OS=Homo sapiens GN=SMG1 - [SMG1_HUMAN],2.09,7.0,4.0,4.0,9.0,29.26,2.09,4.0,5.0,1.6,1.71,3.0,4.0,2392.0,269.3,6.19,,,,,,,,
DCXR,J3QS45,L-xylulose reductase (Fragment) OS=Homo sapiens GN=DCXR PE=4 SV=1 - [J3QS45_HUMAN],37.0,8.0,3.0,3.0,8.0,95.6,37.0,3.0,4.0,6.06,37.0,3.0,4.0,100.0,10.8,9.14,,,,,,,,
CADPS,H0YFP0,Calcium-dependent secretion activator 1 (Fragment) OS=Homo sapiens GN=CADPS PE=2 SV=1 - [H0YFP0_HUMAN],34.91,1.0,1.0,3.0,8.0,26.83,34.91,3.0,4.0,5.84,34.91,3.0,4.0,212.0,24.2,7.88,,,,,,,,
NDUFB9,E9PH64,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 OS=Homo sapiens GN=NDUFB9 PE=2 SV=1 - [E9PH64_HUMAN],31.55,4.0,3.0,3.0,8.0,50.66,31.55,3.0,4.0,10.39,31.55,3.0,4.0,168.0,20.4,7.88,,,,,,,,
HMGB1,P09429,High mobility group protein B1 OS=Homo sapiens GN=HMGB1 PE=1 SV=3 - [HMGB1_HUMAN],27.44,4.0,3.0,4.0,8.0,50.47,18.6,3.0,4.0,8.93,20.47,3.0,4.0,215.0,24.9,5.74,,,,,,,,
ACP1,G5E9R5,"Acid phosphatase 1, soluble, isoform CRA_d OS=Homo sapiens GN=ACP1 PE=4 SV=1 - [G5E9R5_HUMAN]",23.75,7.0,2.0,2.0,8.0,45.08,23.75,2.0,4.0,6.4,23.75,2.0,4.0,80.0,9.0,8.34,,,,,,,,
HMOX2,I3L159,Heme oxygenase 2 (Fragment) OS=Homo sapiens GN=HMOX2 PE=2 SV=1 - [I3L159_HUMAN],23.58,5.0,3.0,3.0,8.0,74.42,23.58,3.0,4.0,13.47,23.58,3.0,4.0,229.0,26.6,5.44,,,,,,,,
EVL,G3V2K5,Ena/VASP-like protein (Fragment) OS=Homo sapiens GN=EVL PE=2 SV=1 - [G3V2K5_HUMAN],23.48,7.0,2.0,2.0,8.0,58.66,23.48,2.0,4.0,6.69,23.48,2.0,4.0,115.0,13.0,9.7,,,,,,,,
AIDA,F5H715,"Axin interactor, dorsalization-associated protein OS=Homo sapiens GN=AIDA PE=2 SV=1 - [F5H715_HUMAN]",23.05,4.0,4.0,4.0,8.0,97.02,23.05,4.0,4.0,11.83,23.05,4.0,4.0,282.0,32.0,6.96,,,,,,,,
NME2,P22392-2,Isoform 3 of Nucleoside diphosphate kinase B OS=Homo sapiens GN=NME2 - [NDKB_HUMAN],21.72,11.0,2.0,2.0,8.0,50.7,21.72,2.0,4.0,9.41,21.72,2.0,4.0,267.0,30.1,8.92,,,,,,,,
PTGES3,B4DP21,Prostaglandin E synthase 3 OS=Homo sapiens GN=PTGES3 PE=2 SV=1 - [B4DP21_HUMAN],21.54,3.0,4.0,4.0,8.0,36.92,21.54,3.0,4.0,6.85,21.54,4.0,4.0,130.0,14.9,4.77,,,,,,,,
PSMD9,J3KN29,26S proteasome non-ATPase regulatory subunit 9 OS=Homo sapiens GN=PSMD9 PE=4 SV=1 - [J3KN29_HUMAN],21.17,9.0,3.0,3.0,8.0,48.44,21.17,3.0,4.0,9.61,21.17,3.0,4.0,222.0,24.5,6.73,,,,,,,,
VPS28,E9PQR7,Vacuolar protein sorting-associated protein 28 homolog (Fragment) OS=Homo sapiens GN=VPS28 PE=2 SV=1 - [E9PQR7_HUMAN],21.12,3.0,3.0,3.0,8.0,40.47,21.12,3.0,4.0,14.15,21.12,3.0,4.0,161.0,18.5,6.21,,,,,,,,
GABRB3,G3V5B4,Gamma-aminobutyric acid receptor subunit beta-3 (Fragment) OS=Homo sapiens GN=GABRB3 PE=2 SV=1 - [G3V5B4_HUMAN],21.01,15.0,2.0,2.0,8.0,90.23,21.01,2.0,4.0,12.75,21.01,2.0,4.0,138.0,16.2,6.79,,,,,,,,
MRPL13,Q9BYD1,"39S ribosomal protein L13, mitochondrial OS=Homo sapiens GN=MRPL13 PE=1 SV=1 - [RM13_HUMAN]",20.79,3.0,3.0,3.0,8.0,96.67,15.17,2.0,4.0,12.61,14.04,2.0,4.0,178.0,20.7,9.16,,,,,,,,
RPL23,P62829,60S ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=1 SV=1 - [RL23_HUMAN],20.0,5.0,2.0,2.0,8.0,135.77,20.0,2.0,4.0,11.09,20.0,2.0,4.0,140.0,14.9,10.51,,,,,,,,
LGALS8,H7BXD8,Galectin-8 (Fragment) OS=Homo sapiens GN=LGALS8 PE=2 SV=1 - [H7BXD8_HUMAN],19.43,9.0,3.0,3.0,8.0,85.77,19.43,3.0,4.0,9.48,19.43,3.0,4.0,175.0,19.6,9.63,,,,,,,,
SMS,B4DE40,Spermine synthase OS=Homo sapiens GN=SMS PE=2 SV=1 - [B4DE40_HUMAN],19.27,4.0,3.0,3.0,8.0,158.15,14.18,2.0,3.0,16.93,19.27,3.0,5.0,275.0,31.1,4.93,,,,,,,,
SLC25A10,B4DLN1,Mitochondrial dicarboxylate carrier OS=Homo sapiens GN=SLC25A10 PE=2 SV=1 - [B4DLN1_HUMAN],19.0,6.0,4.0,4.0,8.0,104.19,19.0,4.0,4.0,13.25,19.0,4.0,4.0,442.0,48.1,9.52,,,,,,,,
NDUFA13,Q9P0J0,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 OS=Homo sapiens GN=NDUFA13 PE=1 SV=3 - [NDUAD_HUMAN],18.75,6.0,2.0,2.0,8.0,41.56,18.75,2.0,4.0,2.53,18.75,2.0,4.0,144.0,16.7,8.43,,,,,,,,
SRPRB,Q9Y5M8,Signal recognition particle receptor subunit beta OS=Homo sapiens GN=SRPRB PE=1 SV=3 - [SRPRB_HUMAN],18.45,2.0,4.0,4.0,8.0,115.17,18.45,4.0,4.0,13.17,18.45,4.0,4.0,271.0,29.7,9.04,,,,,,,,
SQSTM1,E7EMC7,Sequestosome-1 OS=Homo sapiens GN=SQSTM1 PE=2 SV=1 - [E7EMC7_HUMAN],17.99,8.0,3.0,3.0,8.0,114.07,17.99,3.0,4.0,15.86,17.99,3.0,4.0,378.0,41.0,7.52,,,,,,,,
PPM1A,P35813-2,Isoform Alpha-2 of Protein phosphatase 1A OS=Homo sapiens GN=PPM1A - [PPM1A_HUMAN],17.9,6.0,2.0,4.0,8.0,100.01,17.9,4.0,4.0,11.87,17.9,4.0,4.0,324.0,35.9,5.78,,,,,,,,
FAM213A,Q9BRX8-2,Isoform 2 of Redox-regulatory protein FAM213A OS=Homo sapiens GN=FAM213A - [F213A_HUMAN],16.97,2.0,3.0,3.0,8.0,28.95,16.97,3.0,4.0,4.75,16.97,3.0,4.0,218.0,24.4,9.01,,,,,,,,
MRPL47,Q9HD33-2,"Isoform 2 of 39S ribosomal protein L47, mitochondrial OS=Homo sapiens GN=MRPL47 - [RM47_HUMAN]",16.96,3.0,3.0,3.0,8.0,54.38,16.96,3.0,4.0,12.49,16.96,3.0,4.0,230.0,27.1,10.35,,,,,,,,
BCS1L,Q9Y276,Mitochondrial chaperone BCS1 OS=Homo sapiens GN=BCS1L PE=1 SV=1 - [BCS1_HUMAN],16.71,6.0,4.0,4.0,8.0,139.57,16.71,4.0,4.0,12.06,16.71,4.0,4.0,419.0,47.5,8.5,,,,,,,,
EIF2B1,Q14232,Translation initiation factor eIF-2B subunit alpha OS=Homo sapiens GN=EIF2B1 PE=1 SV=1 - [EI2BA_HUMAN],16.39,4.0,4.0,4.0,8.0,93.85,16.39,4.0,4.0,8.5,16.39,4.0,4.0,305.0,33.7,7.33,,,,,,,,
TECR,Q9NZ01,Very-long-chain enoyl-CoA reductase OS=Homo sapiens GN=TECR PE=1 SV=1 - [TECR_HUMAN],16.23,4.0,4.0,4.0,8.0,57.98,10.06,2.0,3.0,4.25,16.23,4.0,5.0,308.0,36.0,9.45,,,,,,,,
ERP29,P30040,Endoplasmic reticulum resident protein 29 OS=Homo sapiens GN=ERP29 PE=1 SV=4 - [ERP29_HUMAN],16.09,3.0,3.0,3.0,8.0,48.11,16.09,3.0,4.0,8.94,16.09,3.0,4.0,261.0,29.0,7.31,,,,,,,,
CAPNS1,K7EIV0,Calpain small subunit 1 OS=Homo sapiens GN=CAPNS1 PE=4 SV=1 - [K7EIV0_HUMAN],16.06,10.0,3.0,3.0,8.0,63.08,16.06,3.0,4.0,8.93,16.06,3.0,4.0,193.0,21.8,4.82,,,,,,,,
MRPL28,A2IDC6,"39S ribosomal protein L30, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL28 PE=2 SV=1 - [A2IDC6_HUMAN]",15.83,5.0,3.0,3.0,8.0,54.2,15.83,3.0,4.0,6.06,15.83,3.0,4.0,240.0,28.5,7.94,,,,,,,,
BRE,C9J2G0,BRCA1-A complex subunit BRE (Fragment) OS=Homo sapiens GN=BRE PE=2 SV=1 - [C9J2G0_HUMAN],15.69,6.0,2.0,2.0,8.0,40.43,15.69,2.0,4.0,9.33,15.69,2.0,4.0,153.0,17.3,4.84,,,,,,,,
IPO11,D6RJB1,Importin-11 (Fragment) OS=Homo sapiens GN=IPO11 PE=2 SV=1 - [D6RJB1_HUMAN],15.43,5.0,2.0,2.0,8.0,44.45,15.43,2.0,4.0,10.79,15.43,2.0,4.0,162.0,18.6,8.7,,,,,,,,
MRPL46,Q9H2W6,"39S ribosomal protein L46, mitochondrial OS=Homo sapiens GN=MRPL46 PE=1 SV=1 - [RM46_HUMAN]",15.41,1.0,4.0,4.0,8.0,95.11,7.89,2.0,3.0,12.69,15.41,4.0,5.0,279.0,31.7,7.05,,,,,,,,
NGFR,B4E096,Tumor necrosis factor receptor superfamily member 16 OS=Homo sapiens GN=NGFR PE=2 SV=1 - [B4E096_HUMAN],15.32,2.0,3.0,3.0,8.0,145.5,15.32,3.0,4.0,13.91,15.32,3.0,4.0,333.0,35.7,4.7,,,,,,,,
CRKL,P46109,Crk-like protein OS=Homo sapiens GN=CRKL PE=1 SV=1 - [CRKL_HUMAN],15.18,1.0,3.0,3.0,8.0,34.52,15.18,3.0,4.0,9.23,15.18,3.0,4.0,303.0,33.8,6.74,,,,,,,,
BHMT,E5RJH0,Betaine--homocysteine S-methyltransferase 1 OS=Homo sapiens GN=BHMT PE=2 SV=1 - [E5RJH0_HUMAN],15.02,4.0,3.0,3.0,8.0,70.92,15.02,3.0,4.0,6.46,15.02,3.0,4.0,253.0,28.2,8.91,,,,,,,,
BAG5,Q9UL15,BAG family molecular chaperone regulator 5 OS=Homo sapiens GN=BAG5 PE=1 SV=1 - [BAG5_HUMAN],14.77,3.0,4.0,4.0,8.0,86.9,14.77,4.0,4.0,11.01,14.77,4.0,4.0,447.0,51.2,6.05,,,,,,,,
MTMR1,Q8NEC6,MTMR1 protein OS=Homo sapiens GN=MTMR1 PE=2 SV=1 - [Q8NEC6_HUMAN],14.6,10.0,3.0,3.0,8.0,49.58,9.64,2.0,3.0,7.35,14.6,3.0,5.0,363.0,39.8,7.64,,,,,,,,
MT-CO2,P00403,Cytochrome c oxidase subunit 2 OS=Homo sapiens GN=MT-CO2 PE=1 SV=1 - [COX2_HUMAN],14.54,1.0,3.0,3.0,8.0,56.3,14.54,3.0,3.0,8.27,14.54,3.0,5.0,227.0,25.5,4.82,,,,,,,,
TMED9,Q9BVK6,Transmembrane emp24 domain-containing protein 9 OS=Homo sapiens GN=TMED9 PE=1 SV=2 - [TMED9_HUMAN],14.47,5.0,2.0,2.0,8.0,102.19,14.47,2.0,4.0,13.33,14.47,2.0,4.0,235.0,27.3,8.02,,,,,,,,
DECR1,B7Z6B8,"2,4-dienoyl-CoA reductase, mitochondrial OS=Homo sapiens GN=DECR1 PE=2 SV=1 - [B7Z6B8_HUMAN]",14.42,6.0,4.0,4.0,8.0,54.72,14.42,4.0,4.0,11.96,13.19,3.0,4.0,326.0,35.0,8.9,,,,,,,,
NXN,Q6DKJ4,Nucleoredoxin OS=Homo sapiens GN=NXN PE=1 SV=2 - [NXN_HUMAN],14.25,3.0,3.0,3.0,8.0,198.73,14.25,3.0,4.0,18.88,14.25,3.0,4.0,435.0,48.4,4.97,,,,,,,,
RRAGD,Q9NQL2-2,Isoform 2 of Ras-related GTP-binding protein D OS=Homo sapiens GN=RRAGD - [RRAGD_HUMAN],14.06,3.0,4.0,4.0,8.0,31.39,8.03,2.0,3.0,8.83,14.06,4.0,5.0,249.0,28.6,7.2,,,,,,,,
RGMB,Q6NW40,RGM domain family member B OS=Homo sapiens GN=RGMB PE=2 SV=3 - [RGMB_HUMAN],13.96,4.0,3.0,4.0,8.0,136.27,13.96,4.0,4.0,12.73,13.96,4.0,4.0,437.0,47.5,6.38,,,,,,,,
DLGAP4,F8WF49,Disks large-associated protein 4 OS=Homo sapiens GN=DLGAP4 PE=2 SV=1 - [F8WF49_HUMAN],13.93,4.0,3.0,3.0,8.0,70.39,13.93,3.0,4.0,9.57,13.93,3.0,4.0,244.0,26.9,4.88,,,,,,,,
DKC1,H7C0M1,H/ACA ribonucleoprotein complex subunit 4 (Fragment) OS=Homo sapiens GN=DKC1 PE=4 SV=1 - [H7C0M1_HUMAN],13.54,6.0,2.0,2.0,8.0,86.67,13.54,2.0,4.0,10.8,13.54,2.0,4.0,229.0,25.8,9.1,,,,,,,,
STAM,Q92783-2,Isoform 2 of Signal transducing adapter molecule 1 OS=Homo sapiens GN=STAM - [STAM1_HUMAN],12.9,5.0,3.0,4.0,8.0,54.39,10.42,3.0,4.0,10.51,9.43,3.0,4.0,403.0,44.9,4.87,,,,,,,,
WDR41,H0YAA3,WD repeat-containing protein 41 (Fragment) OS=Homo sapiens GN=WDR41 PE=2 SV=1 - [H0YAA3_HUMAN],12.69,16.0,3.0,3.0,8.0,96.42,12.69,3.0,4.0,11.47,12.69,3.0,4.0,394.0,44.5,5.48,,,,,,,,
TOLLIP,F2Z2Y8,Toll-interacting protein OS=Homo sapiens GN=TOLLIP PE=2 SV=1 - [F2Z2Y8_HUMAN],12.68,8.0,2.0,2.0,8.0,117.09,12.68,2.0,4.0,14.88,12.68,2.0,4.0,213.0,23.3,5.03,,,,,,,,
VPS29,Q9UBQ0,Vacuolar protein sorting-associated protein 29 OS=Homo sapiens GN=VPS29 PE=1 SV=1 - [VPS29_HUMAN],12.64,3.0,2.0,2.0,8.0,88.22,12.64,2.0,4.0,12.48,12.64,2.0,4.0,182.0,20.5,6.79,,,,,,,,
RCN1,B7Z1M1,Reticulocalbin-1 OS=Homo sapiens GN=RCN1 PE=2 SV=1 - [B7Z1M1_HUMAN],12.5,2.0,2.0,2.0,8.0,124.5,12.5,2.0,4.0,15.89,12.5,2.0,4.0,280.0,33.0,5.02,,,,,,,,
FAM49A,Q9H0Q0,Protein FAM49A OS=Homo sapiens GN=FAM49A PE=1 SV=1 - [FA49A_HUMAN],12.07,1.0,2.0,3.0,8.0,105.79,12.07,3.0,4.0,10.48,12.07,3.0,4.0,323.0,37.3,6.01,,,,,,,,
GATM,P50440-2,"Isoform 2 of Glycine amidinotransferase, mitochondrial OS=Homo sapiens GN=GATM - [GATM_HUMAN]",12.02,7.0,3.0,3.0,8.0,102.14,9.46,2.0,3.0,14.8,12.02,3.0,5.0,391.0,44.9,7.06,,,,,,,,
PCYT2,I3L1R7,Ethanolamine-phosphate cytidylyltransferase OS=Homo sapiens GN=PCYT2 PE=2 SV=1 - [I3L1R7_HUMAN],11.99,8.0,3.0,3.0,8.0,58.97,11.99,3.0,4.0,7.39,11.99,3.0,4.0,367.0,41.4,7.36,,,,,,,,
SEH1L,Q96EE3,Nucleoporin SEH1 OS=Homo sapiens GN=SEH1L PE=1 SV=3 - [SEH1_HUMAN],11.94,6.0,3.0,3.0,8.0,57.5,11.94,3.0,4.0,8.23,11.94,3.0,4.0,360.0,39.6,8.09,,,,,,,,
MCU,Q8NE86-3,"Isoform 3 of Calcium uniporter protein, mitochondrial OS=Homo sapiens GN=MCU - [MCU_HUMAN]",11.59,3.0,3.0,3.0,8.0,83.63,7.28,2.0,3.0,14.18,11.59,3.0,5.0,302.0,35.1,7.49,,,,,,,,
PRKAR1A,P10644,cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Homo sapiens GN=PRKAR1A PE=1 SV=1 - [KAP0_HUMAN],11.29,8.0,3.0,3.0,8.0,20.53,11.29,3.0,4.0,2.29,11.29,3.0,4.0,381.0,43.0,5.35,,,,,,,,
UBAP2L,Q5VU77,Ubiquitin-associated protein 2-like (Fragment) OS=Homo sapiens GN=UBAP2L PE=2 SV=1 - [Q5VU77_HUMAN],11.14,11.0,3.0,3.0,8.0,130.29,11.14,3.0,4.0,10.17,11.14,3.0,4.0,350.0,37.9,6.74,,,,,,,,
AGPAT4,Q9NRZ5,1-acyl-sn-glycerol-3-phosphate acyltransferase delta OS=Homo sapiens GN=AGPAT4 PE=1 SV=1 - [PLCD_HUMAN],10.58,4.0,3.0,3.0,8.0,39.58,10.58,3.0,4.0,8.56,10.58,3.0,4.0,378.0,44.0,8.72,,,,,,,,
EIF2B4,Q9UI10-3,Isoform 3 of Translation initiation factor eIF-2B subunit delta OS=Homo sapiens GN=EIF2B4 - [EI2BD_HUMAN],10.54,5.0,4.0,4.0,8.0,74.81,7.85,3.0,3.0,8.76,10.54,4.0,5.0,522.0,57.4,9.38,,,,,,,,
FIBP,E9PSD3,Acidic fibroblast growth factor intracellular-binding protein OS=Homo sapiens GN=FIBP PE=2 SV=1 - [E9PSD3_HUMAN],10.34,5.0,2.0,2.0,8.0,85.65,10.34,2.0,4.0,15.87,10.34,2.0,4.0,348.0,39.3,7.81,,,,,,,,
OPCML,B2CZX2,Opioid binding protein/cell adhesion molecule-like isoform c OS=Homo sapiens GN=OPCML PE=2 SV=1 - [B2CZX2_HUMAN],10.2,4.0,2.0,2.0,8.0,227.49,10.2,2.0,4.0,15.01,10.2,2.0,4.0,304.0,33.6,5.95,,,,,,,,
SNX1,Q13596-2,Isoform 1A of Sorting nexin-1 OS=Homo sapiens GN=SNX1 - [SNX1_HUMAN],10.07,6.0,3.0,4.0,8.0,69.74,10.07,4.0,4.0,9.05,10.07,4.0,4.0,457.0,51.8,5.64,,,,,,,,
NUMBL,Q9Y6R0,Numb-like protein OS=Homo sapiens GN=NUMBL PE=1 SV=1 - [NUMBL_HUMAN],9.69,16.0,4.0,4.0,8.0,27.7,9.69,4.0,4.0,11.24,9.69,4.0,4.0,609.0,64.9,8.85,,,,,,,,
C6orf211,Q9H993,UPF0364 protein C6orf211 OS=Homo sapiens GN=C6orf211 PE=1 SV=1 - [CF211_HUMAN],9.52,2.0,3.0,3.0,8.0,43.91,9.52,3.0,4.0,8.46,9.52,3.0,4.0,441.0,51.1,5.76,,,,,,,,
LPPR1,Q8TBJ4,Lipid phosphate phosphatase-related protein type 1 OS=Homo sapiens GN=LPPR1 PE=2 SV=1 - [LPPR1_HUMAN],9.23,1.0,2.0,2.0,8.0,68.2,9.23,2.0,4.0,3.66,9.23,2.0,4.0,325.0,35.8,7.33,,,,,,,,
HARS,P12081-4,"Isoform 4 of Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=HARS - [SYHC_HUMAN]",9.0,11.0,4.0,4.0,8.0,48.22,9.0,4.0,4.0,8.82,9.0,4.0,4.0,489.0,54.8,5.54,,,,,,,,
TMX1,Q9H3N1,Thioredoxin-related transmembrane protein 1 OS=Homo sapiens GN=TMX1 PE=1 SV=1 - [TMX1_HUMAN],8.93,2.0,2.0,2.0,8.0,121.22,8.93,2.0,4.0,12.81,8.93,2.0,4.0,280.0,31.8,4.98,,,,,,,,
SMAD3,P84022-2,Isoform 2 of Mothers against decapentaplegic homolog 3 OS=Homo sapiens GN=SMAD3 - [SMAD3_HUMAN],8.92,24.0,1.0,3.0,8.0,49.51,8.92,3.0,4.0,10.02,8.92,3.0,4.0,381.0,43.2,6.96,,,,,,,,
