NGN2-Converted hiPSC Neurons Synapse Proteomics Screen,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Gene Symbol,Accession,Description,ΣCoverage,Σ# Proteins,Σ# Unique Peptides,Σ# Peptides,Σ# PSMs,Score A2,Coverage A2,# Peptides A2,# PSM A2,Score A4,Coverage A4,# Peptides A4,# PSM A4,# AAs,MW [kDa],calc. pI,,,,,,,,
OLFM2,O95897,Noelin-2 OS=Homo sapiens GN=OLFM2 PE=2 SV=2 - [NOE2_HUMAN],8.81,4,3,3,7,30.94,5.51,2,3,11.08,8.81,3,4,454,51.4,7.94,,,,,,,,
CXCR4,P61073,C-X-C chemokine receptor type 4 OS=Homo sapiens GN=CXCR4 PE=1 SV=1 - [CXCR4_HUMAN],8.81,2,3,3,7,45.19,8.81,3,3,10.21,8.81,3,4,352,39.7,8.21,,,,,,,,
TUSC3,D6RDV0,Tumor suppressor candidate 3 OS=Homo sapiens GN=TUSC3 PE=4 SV=1 - [D6RDV0_HUMAN],8.7,5,2,2,7,49.85,8.7,2,3,11.52,8.7,2,4,276,31.8,10.21,,,,,,,,
NLGN4Y,Q8NFZ3-2,"Isoform 2 of Neuroligin-4, Y-linked OS=Homo sapiens GN=NLGN4Y - [NLGNY_HUMAN]",8.64,9,2,4,7,75.95,6.17,3,3,10.32,8.64,4,4,648,72.8,6.43,,,,,,,,
RAD23B,P54727,UV excision repair protein RAD23 homolog B OS=Homo sapiens GN=RAD23B PE=1 SV=1 - [RD23B_HUMAN],8.56,4,2,2,7,127.23,4.65,1,3,11.95,8.56,2,4,409,43.1,4.84,,,,,,,,
SYT3,Q9BQG1,Synaptotagmin-3 OS=Homo sapiens GN=SYT3 PE=2 SV=1 - [SYT3_HUMAN],8.31,1,3,3,7,50.58,8.31,3,4,7.11,6.1,2,3,590,63.3,6.62,,,,,,,,
KIRREL,B4DN67,Kin of IRRE-like protein 1 OS=Homo sapiens GN=KIRREL PE=2 SV=1 - [B4DN67_HUMAN],7.76,6,3,3,7,86,6.09,2,3,9.13,7.76,3,4,657,72.7,5.78,,,,,,,,
PPP6R3,H7BXH2,Serine/threonine-protein phosphatase 6 regulatory subunit 3 OS=Homo sapiens GN=PPP6R3 PE=2 SV=1 - [H7BXH2_HUMAN],7.74,12,4,4,7,58.1,5.68,3,3,7.93,7.74,4,4,827,92.4,4.63,,,,,,,,
TF,P02787,Serotransferrin OS=Homo sapiens GN=TF PE=1 SV=3 - [TRFE_HUMAN],7.74,5,3,3,7,71.36,7.74,3,4,7.21,3.87,2,3,698,77,7.12,,,,,,,,
PRKCSH,P14314-2,Isoform 2 of Glucosidase 2 subunit beta OS=Homo sapiens GN=PRKCSH - [GLU2B_HUMAN],7.62,4,4,4,7,81.4,7.62,4,4,7.2,5.71,3,3,525,59.1,4.42,,,,,,,,
EIF2A,B4DQ14,Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens GN=EIF2A PE=2 SV=1 - [B4DQ14_HUMAN],7.5,8,3,3,7,32.22,4.46,2,3,7.02,7.5,3,4,560,62.2,8.91,,,,,,,,
FBXO7,Q9Y3I1-3,Isoform 3 of F-box only protein 7 OS=Homo sapiens GN=FBXO7 - [FBX7_HUMAN],7.35,3,2,2,7,94.69,3.19,1,3,9.94,7.35,2,4,408,45.8,7.14,,,,,,,,
ACO1,P21399,Cytoplasmic aconitate hydratase OS=Homo sapiens GN=ACO1 PE=1 SV=3 - [ACOC_HUMAN],7.31,3,4,4,7,43.36,6.19,3,3,4.77,7.31,4,4,889,98.3,6.68,,,,,,,,
RPS6KA1,Q15418-3,Isoform 3 of Ribosomal protein S6 kinase alpha-1 OS=Homo sapiens GN=RPS6KA1 - [KS6A1_HUMAN],7.31,15,2,3,7,56.7,5.6,2,3,8.26,7.31,3,4,643,72.7,8.25,,,,,,,,
NMT1,P30419-2,Isoform Short of Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens GN=NMT1 - [NMT1_HUMAN],7.21,4,3,3,7,74.12,7.21,3,4,7.86,5.53,2,3,416,48.1,8.12,,,,,,,,
PURB,Q96QR8,Transcriptional activator protein Pur-beta OS=Homo sapiens GN=PURB PE=1 SV=3 - [PURB_HUMAN],7.05,1,1,2,7,52.33,7.05,2,3,6.78,7.05,2,4,312,33.2,5.43,,,,,,,,
CRAT,P43155-2,Isoform 2 of Carnitine O-acetyltransferase OS=Homo sapiens GN=CRAT - [CACP_HUMAN],6.61,6,3,3,7,27.74,4.79,2,3,5.86,6.61,3,4,605,68.5,8.09,,,,,,,,
RABEP1,Q15276-2,Isoform 2 of Rab GTPase-binding effector protein 1 OS=Homo sapiens GN=RABEP1 - [RABE1_HUMAN],6.51,4,4,4,7,17.41,4.95,3,3,6.98,6.51,4,4,829,95.4,5,,,,,,,,
MPP3,Q13368,MAGUK p55 subfamily member 3 OS=Homo sapiens GN=MPP3 PE=1 SV=2 - [MPP3_HUMAN],6.5,2,2,3,7,25.73,6.5,3,4,5.68,4.27,2,3,585,66.1,6.81,,,,,,,,
STAT1,P42224-2,Isoform Beta of Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens GN=STAT1 - [STAT1_HUMAN],6.04,3,3,3,7,66.83,4.07,2,3,7.06,6.04,3,4,712,83,6.42,,,,,,,,
CASKIN1,Q8WXD9,Caskin-1 OS=Homo sapiens GN=CASKIN1 PE=1 SV=1 - [CSKI1_HUMAN],6.01,5,5,5,7,28.74,2.38,2,2,10.43,6.01,5,5,1431,149.7,9.14,,,,,,,,
RABGAP1L,Q5R372-4,Isoform 4 of Rab GTPase-activating protein 1-like OS=Homo sapiens GN=RABGAP1L - [RBG1L_HUMAN],5.38,5,2,3,7,98.36,4.25,2,3,8.49,5.38,3,4,800,90.8,5.59,,,,,,,,
FMR1,A8MQB8,Fragile X mental retardation protein 1 OS=Homo sapiens GN=FMR1 PE=2 SV=1 - [A8MQB8_HUMAN],5.33,14,2,3,7,52.33,5.33,3,4,4.75,5.33,3,3,582,65.8,7.62,,,,,,,,
CCP110,O43303-2,Isoform 2 of Centriolar coiled-coil protein of 110 kDa OS=Homo sapiens GN=CCP110 - [CP110_HUMAN],4.94,3,3,3,7,82.95,4.94,3,4,5.29,4.94,3,3,991,111.2,8.31,,,,,,,,
DYRK1A,Q13627-3,Isoform 2 of Dual specificity tyrosine-phosphorylation-regulated kinase 1A OS=Homo sapiens GN=DYRK1A - [DYR1A_HUMAN],4.91,10,2,2,7,62.67,4.91,2,3,8.16,4.91,2,4,529,60.3,9.13,,,,,,,,
LRCH1,Q9Y2L9-2,Isoform 2 of Leucine-rich repeat and calponin homology domain-containing protein 1 OS=Homo sapiens GN=LRCH1 - [LRCH1_HUMAN],4.6,3,2,2,7,86.3,2.3,1,3,14.53,4.6,2,4,696,77.2,5.88,,,,,,,,
RAPGEF1,Q5JUE6,Rap guanine nucleotide exchange factor 1 (Fragment) OS=Homo sapiens GN=RAPGEF1 PE=2 SV=1 - [Q5JUE6_HUMAN],4.5,8,3,3,7,65.39,4.5,3,3,7.12,4.5,3,4,1023,113.5,5.68,,,,,,,,
UPF2,Q9HAU5,Regulator of nonsense transcripts 2 OS=Homo sapiens GN=UPF2 PE=1 SV=1 - [RENT2_HUMAN],4.48,2,4,4,7,46.8,3.3,3,3,7.03,4.48,4,4,1272,147.7,5.69,,,,,,,,
COL1A1,P02452,Collagen alpha-1(I) chain OS=Homo sapiens GN=COL1A1 PE=1 SV=5 - [CO1A1_HUMAN],4.37,1,4,4,7,74.44,4.37,4,4,7.11,3.35,3,3,1464,138.9,5.8,,,,,,,,
RABGEF1,Q9UJ41-2,Isoform 2 of Rab5 GDP/GTP exchange factor OS=Homo sapiens GN=RABGEF1 - [RABX5_HUMAN],4.28,6,2,2,7,22.58,4.28,2,3,6.62,4.28,2,4,491,56.9,7.02,,,,,,,,
ARMC8,B7Z637,"Armadillo repeat containing 8, isoform CRA_g OS=Homo sapiens GN=ARMC8 PE=2 SV=1 - [B7Z637_HUMAN]",4.17,13,3,3,7,51.71,4.17,3,4,7.08,3.83,2,3,600,67.1,6.73,,,,,,,,
SF3B2,E9PPJ0,Splicing factor 3B subunit 2 OS=Homo sapiens GN=SF3B2 PE=2 SV=1 - [E9PPJ0_HUMAN],3.99,3,3,3,7,28.37,3.99,3,4,0,2.51,2,3,878,98.1,5.62,,,,,,,,
ABL1,P00519,Tyrosine-protein kinase ABL1 OS=Homo sapiens GN=ABL1 PE=1 SV=4 - [ABL1_HUMAN],3.36,2,2,3,7,37.83,2.04,2,3,11.1,3.36,3,4,1130,122.8,8.66,,,,,,,,
VWA8,A3KMH1-2,Isoform 2 of von Willebrand factor A domain-containing protein 8 OS=Homo sapiens GN=VWA8 - [VWA8_HUMAN],2.69,4,2,2,7,86.46,2.69,2,4,4.23,2.69,2,3,1039,116.9,8.15,,,,,,,,
HECW2,Q9P2P5,E3 ubiquitin-protein ligase HECW2 OS=Homo sapiens GN=HECW2 PE=1 SV=2 - [HECW2_HUMAN],2.67,2,4,4,7,41.95,2.04,3,3,2.72,2.67,4,4,1572,175.7,5.41,,,,,,,,
CTNNBL1,Q8WYA6-3,Isoform 3 of Beta-catenin-like protein 1 OS=Homo sapiens GN=CTNNBL1 - [CTBL1_HUMAN],2.57,4,1,1,7,56.81,2.57,1,4,3.32,2.57,1,3,311,36.1,6.7,,,,,,,,
LTN1,O94822,E3 ubiquitin-protein ligase listerin OS=Homo sapiens GN=LTN1 PE=1 SV=6 - [LTN1_HUMAN],2.15,4,3,3,7,102,2.15,3,4,10.09,1.7,2,3,1766,200.4,6.25,,,,,,,,
HECTD1,Q9ULT8,E3 ubiquitin-protein ligase HECTD1 OS=Homo sapiens GN=HECTD1 PE=1 SV=3 - [HECD1_HUMAN],1.61,4,3,3,7,38.25,0.8,2,3,10.08,1.61,3,4,2610,289.2,5.35,,,,,,,,
LRBA,E9PEM5,Lipopolysaccharide-responsive and beige-like anchor protein OS=Homo sapiens GN=LRBA PE=2 SV=1 - [E9PEM5_HUMAN],1.32,5,1,3,7,25.07,0.85,2,2,12.5,1.32,3,5,2575,286.8,5.52,,,,,,,,
SPTA1,P02549-2,"Isoform 2 of Spectrin alpha chain, erythrocytic 1 OS=Homo sapiens GN=SPTA1 - [SPTA1_HUMAN]",1.24,2,1,2,7,44.04,0.75,1,2,11.49,1.24,2,5,2416,279.5,5.05,,,,,,,,
LRP1B,Q9NZR2,Low-density lipoprotein receptor-related protein 1B OS=Homo sapiens GN=LRP1B PE=1 SV=2 - [LRP1B_HUMAN],0.48,3,1,3,7,0,0.48,3,4,6.23,0.35,2,3,4599,515.2,5.3,,,,,,,,
RPL22,K7EP65,60S ribosomal protein L22 (Fragment) OS=Homo sapiens GN=RPL22 PE=4 SV=1 - [K7EP65_HUMAN],52.08,7,2,2,6,83.36,52.08,2,3,8.77,52.08,2,3,48,5.2,9.82,,,,,,,,
PPM1F,C9J2F3,Protein phosphatase 1F (Fragment) OS=Homo sapiens GN=PPM1F PE=2 SV=1 - [C9J2F3_HUMAN],45.56,5,3,3,6,50.3,45.56,3,3,6.2,45.56,3,3,90,10,8.69,,,,,,,,
HOMER3,M0R2T8,Homer protein homolog 3 (Fragment) OS=Homo sapiens GN=HOMER3 PE=4 SV=1 - [M0R2T8_HUMAN],31.76,8,2,2,6,56.76,31.76,2,3,10.07,31.76,2,3,85,9.5,10.43,,,,,,,,
PCBP4,C9JZY3,Poly(rC)-binding protein 4 (Fragment) OS=Homo sapiens GN=PCBP4 PE=2 SV=1 - [C9JZY3_HUMAN],26.79,11,3,3,6,141.06,26.79,3,3,9.83,26.79,3,3,168,17.5,7.18,,,,,,,,
RFTN1,C9JHG2,Raftlin (Fragment) OS=Homo sapiens GN=RFTN1 PE=2 SV=1 - [C9JHG2_HUMAN],26.55,6,3,3,6,103.44,26.55,3,3,10.55,26.55,3,3,275,29.7,5.67,,,,,,,,
RPS26,P62854,40S ribosomal protein S26 OS=Homo sapiens GN=RPS26 PE=1 SV=3 - [RS26_HUMAN],26.09,2,2,2,6,83.52,26.09,2,2,12.15,26.09,2,4,115,13,11,,,,,,,,
EEF1E1,O43324,Eukaryotic translation elongation factor 1 epsilon-1 OS=Homo sapiens GN=EEF1E1 PE=1 SV=1 - [MCA3_HUMAN],25.86,6,3,3,6,50.32,25.86,3,3,5.73,25.86,3,3,174,19.8,8.54,,,,,,,,
MTAP,Q13126-7,Isoform 7 of S-methyl-5'-thioadenosine phosphorylase OS=Homo sapiens GN=MTAP - [MTAP_HUMAN],22.59,12,3,3,6,79.65,22.59,3,3,8.77,22.59,3,3,239,26.3,6.62,,,,,,,,
DNAJB2,C9J1G2,DnaJ homolog subfamily B member 2 (Fragment) OS=Homo sapiens GN=DNAJB2 PE=2 SV=1 - [C9J1G2_HUMAN],22.13,7,2,2,6,130.78,22.13,2,3,10.03,22.13,2,3,122,13.8,5.39,,,,,,,,
NDUFA8,F5H7V7,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS=Homo sapiens GN=NDUFA8 PE=2 SV=1 - [F5H7V7_HUMAN],21.88,2,2,2,6,44.25,21.88,2,3,7.11,21.88,2,3,128,14.9,7.25,,,,,,,,
TANC2,J3QQY7,Protein TANC2 (Fragment) OS=Homo sapiens GN=TANC2 PE=4 SV=1 - [J3QQY7_HUMAN],21.62,2,1,2,6,40.32,21.62,2,3,7.37,21.62,2,3,111,12,5.45,,,,,,,,
DUSP3,Q8IYJ9,DUSP3 protein OS=Homo sapiens GN=DUSP3 PE=2 SV=1 - [Q8IYJ9_HUMAN],21.53,4,2,2,6,127.29,21.53,2,3,8.16,21.53,2,3,144,16.2,9.26,,,,,,,,
MDK,E9PPJ5,Midkine (Fragment) OS=Homo sapiens GN=MDK PE=2 SV=1 - [E9PPJ5_HUMAN],20.61,4,2,2,6,93.53,20.61,2,3,7.84,20.61,2,3,131,14.4,9.54,,,,,,,,
HMGB2,P26583,High mobility group protein B2 OS=Homo sapiens GN=HMGB2 PE=1 SV=2 - [HMGB2_HUMAN],19.14,2,2,3,6,38.81,19.14,3,4,3.03,11.96,2,2,209,24,7.81,,,,,,,,
PTRH2,Q9Y3E5,"Peptidyl-tRNA hydrolase 2, mitochondrial OS=Homo sapiens GN=PTRH2 PE=1 SV=1 - [PTH2_HUMAN]",18.44,2,2,2,6,59.11,18.44,2,3,5.01,18.44,2,3,179,19.2,8.73,,,,,,,,
ENOPH1,Q9UHY7-2,Isoform 2 of Enolase-phosphatase E1 OS=Homo sapiens GN=ENOPH1 - [ENOPH_HUMAN],18.26,3,2,2,6,71.02,18.26,2,3,9.73,18.26,2,3,115,12.5,4.82,,,,,,,,
GRB2,J3KT38,Growth factor receptor-bound protein 2 (Fragment) OS=Homo sapiens GN=GRB2 PE=4 SV=1 - [J3KT38_HUMAN],18.02,4,2,2,6,31.23,18.02,2,3,7.6,18.02,2,3,111,12.8,6.32,,,,,,,,
RRAS,P10301,Ras-related protein R-Ras OS=Homo sapiens GN=RRAS PE=1 SV=1 - [RRAS_HUMAN],17.89,3,1,3,6,54.26,17.89,3,3,7.15,12.39,2,3,218,23.5,6.93,,,,,,,,
FBLIM1,Q8WUP2-3,Isoform 3 of Filamin-binding LIM protein 1 OS=Homo sapiens GN=FBLIM1 - [FBLI1_HUMAN],17.75,3,3,3,6,55.04,17.75,3,3,8.73,17.75,3,3,276,30.7,8.02,,,,,,,,
CNBP,P62633-2,Isoform 2 of Cellular nucleic acid-binding protein OS=Homo sapiens GN=CNBP - [CNBP_HUMAN],17.65,7,2,2,6,50.52,17.65,2,3,2.89,17.65,2,3,170,18.7,7.71,,,,,,,,
ARIH1,H3BNB9,E3 ubiquitin-protein ligase ARIH1 (Fragment) OS=Homo sapiens GN=ARIH1 PE=4 SV=1 - [H3BNB9_HUMAN],17.65,3,3,3,6,52.54,12.75,2,3,5.53,17.65,3,3,204,22.3,4.42,,,,,,,,
ATG4B,C9JIK8,Cysteine protease ATG4B (Fragment) OS=Homo sapiens GN=ATG4B PE=2 SV=1 - [C9JIK8_HUMAN],16.44,13,2,2,6,147,16.44,2,3,11.24,16.44,2,3,219,24.8,7.96,,,,,,,,
TAGLN,Q01995,Transgelin OS=Homo sapiens GN=TAGLN PE=1 SV=4 - [TAGL_HUMAN],16.42,3,3,3,6,68.77,16.42,3,3,7.08,16.42,3,3,201,22.6,8.84,,,,,,,,
EMC2,H0YAS9,ER membrane protein complex subunit 2 (Fragment) OS=Homo sapiens GN=EMC2 PE=4 SV=1 - [H0YAS9_HUMAN],16.3,2,2,2,6,85.47,16.3,2,3,7.46,16.3,2,3,135,16,6.8,,,,,,,,
PPIL1,Q9Y3C6,Peptidyl-prolyl cis-trans isomerase-like 1 OS=Homo sapiens GN=PPIL1 PE=1 SV=1 - [PPIL1_HUMAN],16.27,1,2,2,6,25.71,16.27,2,3,7.27,10.24,1,3,166,18.2,7.99,,,,,,,,
MRPL23,H7C2P7,"39S ribosomal protein L23, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL23 PE=4 SV=1 - [H7C2P7_HUMAN]",16.1,5,1,1,6,27.55,16.1,1,3,10.66,16.1,1,3,118,13.8,10.42,,,,,,,,
SNX3,O60493,Sorting nexin-3 OS=Homo sapiens GN=SNX3 PE=1 SV=3 - [SNX3_HUMAN],16.05,4,1,2,6,25.89,16.05,2,3,5.99,16.05,2,3,162,18.8,8.66,,,,,,,,
EIF4E,P06730,Eukaryotic translation initiation factor 4E OS=Homo sapiens GN=EIF4E PE=1 SV=2 - [IF4E_HUMAN],14.75,5,3,3,6,49.7,14.75,3,3,5.3,14.75,3,3,217,25.1,6.15,,,,,,,,
UBE2D3,P61077,Ubiquitin-conjugating enzyme E2 D3 OS=Homo sapiens GN=UBE2D3 PE=1 SV=1 - [UB2D3_HUMAN],14.29,14,1,2,6,66.76,14.29,2,3,4.79,14.29,2,3,147,16.7,7.8,,,,,,,,
UBE2D2,P62837,Ubiquitin-conjugating enzyme E2 D2 OS=Homo sapiens GN=UBE2D2 PE=1 SV=1 - [UB2D2_HUMAN],14.29,7,1,2,6,111.13,14.29,2,3,7.52,14.29,2,3,147,16.7,7.83,,,,,,,,
ANXA7,B4DT77,Annexin OS=Homo sapiens GN=ANXA7 PE=2 SV=1 - [B4DT77_HUMAN],14.29,3,3,3,6,58.69,14.29,3,3,7.46,14.29,3,3,336,37.8,7.18,,,,,,,,
CNN2,H3BQH0,Calponin-2 (Fragment) OS=Homo sapiens GN=CNN2 PE=4 SV=1 - [H3BQH0_HUMAN],14.15,9,3,3,6,0,14.15,3,3,2.19,14.15,3,3,212,23.1,8.59,,,,,,,,
ABHD10,Q9NUJ1,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial OS=Homo sapiens GN=ABHD10 PE=1 SV=1 - [ABHDA_HUMAN]",13.73,3,3,3,6,113.71,13.73,3,3,9.39,13.73,3,3,306,33.9,8.57,,,,,,,,
CRBN,J3QT87,Protein cereblon (Fragment) OS=Homo sapiens GN=CRBN PE=4 SV=1 - [J3QT87_HUMAN],13.71,4,4,4,6,,,,,14.42,13.71,4,6,394,45.4,5.54,,,,,,,,
NTPCR,Q9BSD7,Cancer-related nucleoside-triphosphatase OS=Homo sapiens GN=NTPCR PE=1 SV=1 - [NTPCR_HUMAN],13.68,2,2,2,6,37.27,13.68,2,3,5.6,13.68,2,3,190,20.7,9.54,,,,,,,,
SNRPN,J3QLE5,Small nuclear ribonucleoprotein-associated protein N (Fragment) OS=Homo sapiens GN=SNRPN PE=4 SV=1 - [J3QLE5_HUMAN],13.61,7,3,3,6,54.32,13.61,3,3,4.34,13.61,3,3,169,17.5,9.99,,,,,,,,
CCDC51,Q96ER9-2,Isoform 2 of Coiled-coil domain-containing protein 51 OS=Homo sapiens GN=CCDC51 - [CCD51_HUMAN],13.58,2,2,2,6,120.8,13.58,2,3,11.29,13.58,2,3,302,33.6,6.96,,,,,,,,
CCDC127,Q96BQ5,Coiled-coil domain-containing protein 127 OS=Homo sapiens GN=CCDC127 PE=1 SV=1 - [CC127_HUMAN],13.46,1,3,3,6,47.61,13.46,3,3,8.29,13.46,3,3,260,30.8,9.2,,,,,,,,
ELMOD2,D6RBS5,ELMO domain-containing protein 2 (Fragment) OS=Homo sapiens GN=ELMOD2 PE=2 SV=1 - [D6RBS5_HUMAN],13.1,2,2,2,6,37.33,13.1,2,3,7.51,13.1,2,3,168,20.2,9.09,,,,,,,,
PCYOX1,Q9UHG3,Prenylcysteine oxidase 1 OS=Homo sapiens GN=PCYOX1 PE=1 SV=3 - [PCYOX_HUMAN],12.48,4,4,4,6,67.43,11.29,3,3,6.11,7.33,3,3,505,56.6,6.18,,,,,,,,
SH3GL2,F5H5J3,Endophilin-A1 OS=Homo sapiens GN=SH3GL2 PE=2 SV=1 - [F5H5J3_HUMAN],12.46,2,1,3,6,34.28,7.21,2,3,5.26,12.46,3,3,305,34.8,5.17,,,,,,,,
HAT1,O14929-2,Isoform B of Histone acetyltransferase type B catalytic subunit OS=Homo sapiens GN=HAT1 - [HAT1_HUMAN],12.28,2,3,3,6,90.3,12.28,3,3,9.92,12.28,3,3,334,39.8,5.92,,,,,,,,
MYL12A,P19105,Myosin regulatory light chain 12A OS=Homo sapiens GN=MYL12A PE=1 SV=2 - [ML12A_HUMAN],12.28,3,2,2,6,85.7,12.28,2,3,7.94,12.28,2,3,171,19.8,4.81,,,,,,,,
MRPS28,H7C5V3,"28S ribosomal protein S35, mitochondrial (Fragment) OS=Homo sapiens GN=MRPS28 PE=4 SV=1 - [H7C5V3_HUMAN]",12.27,6,2,2,6,58.34,12.27,2,3,7.15,12.27,2,3,163,18.3,9.99,,,,,,,,
ERO1L,G3V3E6,ERO1-like protein alpha OS=Homo sapiens GN=ERO1L PE=4 SV=1 - [G3V3E6_HUMAN],12.06,3,2,2,6,71.02,12.06,2,3,10.22,12.06,2,3,257,29.6,5.21,,,,,,,,
ACTR3B,Q9P1U1,Actin-related protein 3B OS=Homo sapiens GN=ACTR3B PE=2 SV=1 - [ARP3B_HUMAN],11.96,6,2,3,6,74.99,11.96,3,3,6.14,11.96,3,3,418,47.6,5.88,,,,,,,,
OCIAD2,Q56VL3,OCIA domain-containing protein 2 OS=Homo sapiens GN=OCIAD2 PE=1 SV=1 - [OCAD2_HUMAN],11.69,4,2,2,6,50.43,11.69,2,3,8.62,11.69,2,3,154,16.9,9.03,,,,,,,,
C19orf52,Q9BSF4,Uncharacterized protein C19orf52 OS=Homo sapiens GN=C19orf52 PE=1 SV=2 - [CS052_HUMAN],11.54,2,2,2,6,88.28,11.54,2,3,9.01,11.54,2,3,260,29.2,8.09,,,,,,,,
SMARCD1,F8VZ70,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 (Fragment) OS=Homo sapiens GN=SMARCD1 PE=2 SV=1 - [F8VZ70_HUMAN],11.51,6,2,2,6,91.46,11.51,2,3,6.6,11.51,2,3,278,30.2,10.37,,,,,,,,
ALYREF,Q86V81,THO complex subunit 4 OS=Homo sapiens GN=ALYREF PE=1 SV=3 - [THOC4_HUMAN],11.28,2,2,2,6,74.37,11.28,2,3,10.71,11.28,2,3,257,26.9,11.15,,,,,,,,
LPP,Q93052,Lipoma-preferred partner OS=Homo sapiens GN=LPP PE=1 SV=1 - [LPP_HUMAN],11.27,3,3,3,6,75.15,11.27,3,3,10.66,11.27,3,3,612,65.7,7.37,,,,,,,,
RNMT,K7EP06,mRNA cap guanine-N7 methyltransferase OS=Homo sapiens GN=RNMT PE=4 SV=1 - [K7EP06_HUMAN],11.07,3,3,3,6,44.17,11.07,3,3,6.68,11.07,3,3,298,34.8,7.5,,,,,,,,
PITPNB,P48739,Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens GN=PITPNB PE=1 SV=2 - [PIPNB_HUMAN],11.07,5,1,3,6,36.86,11.07,3,3,4.46,11.07,3,3,271,31.5,6.87,,,,,,,,
GOT1,B7Z7E9,Aspartate aminotransferase OS=Homo sapiens GN=GOT1 PE=2 SV=1 - [B7Z7E9_HUMAN],10.97,2,3,3,6,51.95,10.97,3,3,8.48,10.97,3,3,392,44.1,8.07,,,,,,,,
NIT2,Q9NQR4,Omega-amidase NIT2 OS=Homo sapiens GN=NIT2 PE=1 SV=1 - [NIT2_HUMAN],10.87,3,2,2,6,74.88,10.87,2,3,9.4,10.87,2,3,276,30.6,7.21,,,,,,,,
NDRG1,E7ESM1,Protein NDRG1 OS=Homo sapiens GN=NDRG1 PE=2 SV=1 - [E7ESM1_HUMAN],10.64,5,1,1,6,129.04,10.64,1,3,10.7,10.64,1,3,141,15,8.68,,,,,,,,
MACROD1,Q9BQ69,O-acetyl-ADP-ribose deacetylase MACROD1 OS=Homo sapiens GN=MACROD1 PE=1 SV=2 - [MACD1_HUMAN],10.15,1,2,2,6,47.92,10.15,2,3,6.08,10.15,2,3,325,35.5,9.51,,,,,,,,
PPM1G,O15355,Protein phosphatase 1G OS=Homo sapiens GN=PPM1G PE=1 SV=1 - [PPM1G_HUMAN],9.89,1,3,3,6,41.45,9.89,3,4,5.34,8.06,2,2,546,59.2,4.36,,,,,,,,
NUDT3,O95989,Diphosphoinositol polyphosphate phosphohydrolase 1 OS=Homo sapiens GN=NUDT3 PE=1 SV=1 - [NUDT3_HUMAN],9.88,1,1,2,6,53.91,9.88,2,3,5.97,9.88,2,3,172,19.5,6.34,,,,,,,,
SYT13,Q7L8C5,Synaptotagmin-13 OS=Homo sapiens GN=SYT13 PE=1 SV=1 - [SYT13_HUMAN],9.86,2,2,2,6,152.9,9.86,2,3,12.17,9.86,2,3,426,46.9,7.66,,,,,,,,
CD55,H3BLV0,Complement decay-accelerating factor (Fragment) OS=Homo sapiens GN=CD55 PE=4 SV=1 - [H3BLV0_HUMAN],9.82,8,2,2,6,48.06,9.82,2,3,7.4,9.82,2,3,326,35.8,5.54,,,,,,,,
TBC1D13,Q9NVG8-2,Isoform 2 of TBC1 domain family member 13 OS=Homo sapiens GN=TBC1D13 - [TBC13_HUMAN],9.82,2,2,2,6,74.02,9.82,2,3,8.84,9.82,2,3,275,32.2,5.6,,,,,,,,
RQCD1,Q92600,Cell differentiation protein RCD1 homolog OS=Homo sapiens GN=RQCD1 PE=1 SV=1 - [RCD1_HUMAN],9.7,3,2,2,6,49.26,9.7,2,3,10.45,9.7,2,3,299,33.6,8.03,,,,,,,,
FOXRED1,Q96CU9-3,Isoform 3 of FAD-dependent oxidoreductase domain-containing protein 1 OS=Homo sapiens GN=FOXRED1 - [FXRD1_HUMAN],9.53,4,3,3,6,82.35,9.53,3,3,7.28,9.53,3,3,472,52.1,6.61,,,,,,,,
VIPAS39,Q9H9C1-2,Isoform 2 of Spermatogenesis-defective protein 39 homolog OS=Homo sapiens GN=VIPAS39 - [SPE39_HUMAN],9.46,3,3,3,6,32.77,9.46,3,3,7.44,9.46,3,3,444,51.5,6.86,,,,,,,,
CTBP2,P56545,C-terminal-binding protein 2 OS=Homo sapiens GN=CTBP2 PE=1 SV=1 - [CTBP2_HUMAN],9.44,3,2,3,6,54.97,9.44,3,3,9.09,9.44,3,3,445,48.9,6.95,,,,,,,,
TAB1,Q15750-2,Isoform 2 of TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 OS=Homo sapiens GN=TAB1 - [TAB1_HUMAN],9.31,2,3,3,6,44.9,9.31,3,3,5.92,9.31,3,3,462,49.9,5.6,,,,,,,,
ANAPC7,Q9UJX3-2,Isoform 2 of Anaphase-promoting complex subunit 7 OS=Homo sapiens GN=ANAPC7 - [APC7_HUMAN],9.31,5,3,3,6,50.04,9.31,3,3,8.69,9.31,3,3,537,60,8.41,,,,,,,,
