Fetal Human Brain Synapse Proteomics Screen,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Gene Symbol,Accession,Description,ΣCoverage,Σ# Proteins,Σ# Unique Peptides,Σ# Peptides,Σ# PSMs,Score A2,Coverage A2,# Peptides A2,# PSM A2,Score A4,Coverage A4,# Peptides A4,# PSM A4,# AAs,MW [kDa],calc. pI,,,,,,,,
MT-CO2,P00403,Cytochrome c oxidase subunit 2 OS=Homo sapiens GN=MT-CO2 PE=1 SV=1 - [COX2_HUMAN],7.49,1,2,2,8,87.85,7.49,2,4,4.55,7.49,2,4,227,25.5,4.82,,,,,,,,
ANXA1,P04083,Annexin A1 OS=Homo sapiens GN=ANXA1 PE=1 SV=2 - [ANXA1_HUMAN],14.16,3,3,3,8,120.94,14.16,3,4,10.35,14.16,3,4,346,38.7,7.02,,,,,,,,
HMGN2,P05204,Non-histone chromosomal protein HMG-17 OS=Homo sapiens GN=HMGN2 PE=1 SV=3 - [HMGN2_HUMAN],16.67,1,1,1,8,45.09,16.67,1,4,0,16.67,1,4,90,9.4,9.99,,,,,,,,
HMGB1,P09429,High mobility group protein B1 OS=Homo sapiens GN=HMGB1 PE=1 SV=3 - [HMGB1_HUMAN],18.6,5,3,3,8,37.43,18.6,3,4,2.02,18.6,3,4,215,24.9,5.74,,,,,,,,
RALA,P11233,Ras-related protein Ral-A OS=Homo sapiens GN=RALA PE=1 SV=1 - [RALA_HUMAN],13.11,5,2,2,8,57.86,13.11,2,4,2.75,13.11,2,4,206,23.6,7.11,,,,,,,,
PSMA3,P25788-2,Isoform 2 of Proteasome subunit alpha type-3 OS=Homo sapiens GN=PSMA3 - [PSA3_HUMAN],14.92,4,3,3,8,133.56,14.92,3,4,4.62,14.92,3,4,248,27.6,5.33,,,,,,,,
CANX,P27824,Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2 - [CALX_HUMAN],10.14,8,4,4,8,0,6.59,3,3,2.32,10.14,4,5,592,67.5,4.6,,,,,,,,
EIF2S3,P41091,Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens GN=EIF2S3 PE=1 SV=3 - [IF2G_HUMAN],9.75,3,3,3,8,93.01,9.75,3,4,5.87,9.75,3,4,472,51.1,8.4,,,,,,,,
ATP1B3,P54709,Sodium/potassium-transporting ATPase subunit beta-3 OS=Homo sapiens GN=ATP1B3 PE=1 SV=1 - [AT1B3_HUMAN],14.34,7,3,3,8,39.49,14.34,3,4,2.41,14.34,3,4,279,31.5,8.35,,,,,,,,
RPL11,P62913-2,Isoform 2 of 60S ribosomal protein L11 OS=Homo sapiens GN=RPL11 - [RL11_HUMAN],12.99,4,2,2,8,116,12.99,2,4,7.09,12.99,2,4,177,20.1,9.6,,,,,,,,
CKAP4,Q07065,Cytoskeleton-associated protein 4 OS=Homo sapiens GN=CKAP4 PE=1 SV=2 - [CKAP4_HUMAN],5.48,1,2,2,8,50.54,5.48,2,4,0,5.48,2,4,602,66,5.92,,,,,,,,
SPIRE1,Q08AE8-2,Isoform 2 of Protein spire homolog 1 OS=Homo sapiens GN=SPIRE1 - [SPIR1_HUMAN],5.8,6,3,3,8,57.09,5.8,3,4,4.59,5.8,3,4,742,83.9,8.62,,,,,,,,
UGP2,Q16851-2,Isoform 2 of UTP--glucose-1-phosphate uridylyltransferase OS=Homo sapiens GN=UGP2 - [UGPA_HUMAN],7.85,7,3,3,8,104.11,7.85,3,4,7.16,7.85,3,4,497,55.6,7.88,,,,,,,,
CIP29,Q567R9,CIP29 protein OS=Homo sapiens GN=CIP29 PE=2 SV=1 - [Q567R9_HUMAN],26.67,4,3,3,8,93.68,26.67,3,4,2.02,26.67,3,4,150,16.8,9.7,,,,,,,,
AGO1,Q5TA58,Protein argonaute-1 OS=Homo sapiens GN=AGO1 PE=2 SV=1 - [Q5TA58_HUMAN],6.14,7,4,4,8,41.12,6.14,4,4,3.71,6.14,4,4,782,88.8,9.19,,,,,,,,
DKFZp781B11202,Q68CR9,"Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens GN=DKFZp781B11202 PE=2 SV=1 - [Q68CR9_HUMAN]",13.47,5,4,4,8,42.47,13.47,4,4,2.06,13.47,4,4,401,45.7,5.71,,,,,,,,
PPP1R18,Q6NYC8,Phostensin OS=Homo sapiens GN=PPP1R18 PE=1 SV=1 - [PPR18_HUMAN],7.18,3,3,3,8,78.77,7.18,3,4,2.21,7.18,3,4,613,67.9,5.4,,,,,,,,
CDK20,Q8IZL9-2,Isoform 2 of Cyclin-dependent kinase 20 OS=Homo sapiens GN=CDK20 - [CDK20_HUMAN],7.82,111,1,2,8,59.42,7.82,2,5,0,3.29,1,3,243,27.1,9.44,,,,,,,,
ABI1,Q8IZP0-10,Isoform 10 of Abl interactor 1 OS=Homo sapiens GN=ABI1 - [ABI1_HUMAN],10.31,16,2,4,8,44.63,10.31,4,4,3.93,10.31,4,4,388,42.6,6.04,,,,,,,,
CCNY,Q8ND76-3,Isoform 3 of Cyclin-Y OS=Homo sapiens GN=CCNY - [CCNY_HUMAN],16.03,6,2,4,8,64.66,16.03,4,4,3.64,16.03,4,4,287,33.2,7.74,,,,,,,,
MDGA1,Q8NFP4,MAM domain-containing glycosylphosphatidylinositol anchor protein 1 OS=Homo sapiens GN=MDGA1 PE=1 SV=1 - [MDGA1_HUMAN],5.13,3,3,3,8,103.34,5.13,3,4,7.14,5.13,3,4,955,105.7,8.34,,,,,,,,
VPS35,Q96QK1,Vacuolar protein sorting-associated protein 35 OS=Homo sapiens GN=VPS35 PE=1 SV=2 - [VPS35_HUMAN],6.53,1,4,4,8,100.53,6.53,4,5,5,4.4,3,3,796,91.6,5.49,,,,,,,,
STRBP,Q96SI9-2,Isoform 2 of Spermatid perinuclear RNA-binding protein OS=Homo sapiens GN=STRBP - [STRBP_HUMAN],5.17,3,1,3,8,40.32,3.65,2,4,1.73,5.17,3,4,658,71.9,8.65,,,,,,,,
CYTH2,Q99418-2,Isoform 2 of Cytohesin-2 OS=Homo sapiens GN=CYTH2 - [CYH2_HUMAN],9.77,12,3,3,8,56.82,9.77,3,4,4.25,9.77,3,4,399,46.5,5.54,,,,,,,,
TRIM2,Q9C040,Tripartite motif-containing protein 2 OS=Homo sapiens GN=TRIM2 PE=1 SV=1 - [TRIM2_HUMAN],9.54,5,4,5,8,93.84,7.8,4,4,3.52,7.39,4,4,744,81.5,6.96,,,,,,,,
EPB41L1,Q9H4G0-4,Isoform 4 of Band 4.1-like protein 1 OS=Homo sapiens GN=EPB41L1 - [E41L1_HUMAN],5.99,9,3,3,8,64.67,5.99,3,4,7.34,5.99,3,4,701,78.8,7.09,,,,,,,,
ACTR10,Q9NZ32,Actin-related protein 10 OS=Homo sapiens GN=ACTR10 PE=1 SV=1 - [ARP10_HUMAN],7.67,7,3,3,8,55.95,7.67,3,4,0,7.67,3,4,417,46.3,7.37,,,,,,,,
DCTN4,Q9UJW0,Dynactin subunit 4 OS=Homo sapiens GN=DCTN4 PE=1 SV=1 - [DCTN4_HUMAN],13.04,7,5,5,8,76.46,11.09,4,4,6.54,10.87,4,4,460,52.3,7.34,,,,,,,,
RAPGEF2,Q9Y4G8,Rap guanine nucleotide exchange factor 2 OS=Homo sapiens GN=RAPGEF2 PE=1 SV=1 - [RPGF2_HUMAN],3.4,2,3,3,8,56.46,3.4,3,4,2.45,3.4,3,4,1499,167.3,6.67,,,,,,,,
SAMM50,Q9Y512,Sorting and assembly machinery component 50 homolog OS=Homo sapiens GN=SAMM50 PE=1 SV=3 - [SAM50_HUMAN],11.3,2,4,4,8,73,6.61,2,3,4,11.3,4,5,469,51.9,6.9,,,,,,,,
CDC42,P60953-1,Isoform 1 of Cell division control protein 42 homolog OS=Homo sapiens GN=CDC42 - [CDC42_HUMAN],19.37,2,1,3,7,36.11,19.37,3,4,1.86,10.99,2,3,191,21.3,6.04,,,,,,,,
RAN,P62826,GTP-binding nuclear protein Ran OS=Homo sapiens GN=RAN PE=1 SV=3 - [RAN_HUMAN],16.67,6,3,3,7,44.76,16.67,3,3,4.05,16.67,3,4,216,24.4,7.49,,,,,,,,
SFRS3,B4E241,Serine/arginine-rich-splicing factor 3 OS=Homo sapiens GN=SFRS3 PE=2 SV=1 - [B4E241_HUMAN],20.97,2,2,2,7,74.49,20.97,2,4,4.05,20.97,2,3,124,14.2,10.08,,,,,,,,
PPP2R2A,P63151,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform OS=Homo sapiens GN=PPP2R2A PE=1 SV=1 - [2ABA_HUMAN],7.38,4,3,3,7,43.99,4.92,2,3,0,7.38,3,4,447,51.7,6.2,,,,,,,,
SEC13,A8MXL6,Protein SEC13 homolog OS=Homo sapiens GN=SEC13 PE=2 SV=1 - [A8MXL6_HUMAN],15.85,5,3,3,7,52.82,15.85,3,4,6.09,15.85,3,3,284,31.6,5.82,,,,,,,,
ATP6V1E1,C9J8H1,V-type proton ATPase subunit E 1 (Fragment) OS=Homo sapiens GN=ATP6V1E1 PE=2 SV=1 - [C9J8H1_HUMAN],12.81,3,3,3,7,55.44,12.81,3,4,3.24,6.9,1,3,203,23.5,9.04,,,,,,,,
PGAM5,Q96HS1,"Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Homo sapiens GN=PGAM5 PE=4 SV=1 - [F5GXG4_HUMAN]",12.14,3,2,2,7,91.21,12.14,2,4,3.6,12.14,2,3,140,15.9,7.02,,,,,,,,
TSG101,F5H442,Tumor susceptibility gene 101 protein OS=Homo sapiens GN=TSG101 PE=2 SV=1 - [F5H442_HUMAN],9.86,3,3,3,7,61.86,7.12,2,3,5.98,9.86,3,4,365,40.9,5.3,,,,,,,,
CAD,F8VPD4,DNA fragmentation factor subunit beta OS=Homo sapiens GN=CAD PE=2 SV=1 - [F8VPD4_HUMAN],2.13,4,4,4,7,62.9,2.13,4,4,0,1.62,3,3,2162,235.9,6.55,,,,,,,,
DCLK2,G5E9L9,"Doublecortin and CaM kinase-like 2, isoform CRA_c OS=Homo sapiens GN=DCLK2 PE=4 SV=1 - [G5E9L9_HUMAN]",4.32,4,1,2,7,91.09,4.32,2,4,2.01,4.32,2,3,695,76.1,8.54,,,,,,,,
SRP14,H0YLA2,Signal recognition particle 14 kDa protein OS=Homo sapiens GN=SRP14 PE=2 SV=1 - [H0YLA2_HUMAN],26.96,2,2,2,7,136.37,26.96,2,5,2.45,14.78,1,2,115,13,9.57,,,,,,,,
ANXA2,H0YMD0,Annexin (Fragment) OS=Homo sapiens GN=ANXA2 PE=2 SV=1 - [H0YMD0_HUMAN],20.26,25,3,3,7,80.98,12.33,2,3,4.12,20.26,3,4,227,25.3,5.97,,,,,,,,
NDUFB10,H3BPJ9,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 OS=Homo sapiens GN=NDUFB10 PE=2 SV=1 - [H3BPJ9_HUMAN],31.68,4,3,3,7,68.31,21.74,2,3,2.15,31.68,3,4,161,19.2,8.7,,,,,,,,
SLC25A11,I3L1P8,Mitochondrial 2-oxoglutarate/malate carrier protein (Fragment) OS=Homo sapiens GN=SLC25A11 PE=2 SV=1 - [I3L1P8_HUMAN],12.16,3,3,3,7,160.55,9.46,2,3,6.24,8.11,2,4,296,32.2,9.77,,,,,,,,
FBL,M0R0P1,rRNA 2'-O-methyltransferase fibrillarin (Fragment) OS=Homo sapiens GN=FBL PE=4 SV=1 - [M0R0P1_HUMAN],18.86,10,3,3,7,75.1,13.16,2,3,4.4,18.86,3,4,228,24.5,10.11,,,,,,,,
EPS15L1,M0R2S2,Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1 PE=4 SV=1 - [M0R2S2_HUMAN],12.3,6,3,3,7,106.4,12.3,3,3,3.1,12.3,3,4,447,49.8,5.14,,,,,,,,
SRGAP3,O43295-2,Isoform 2 of SLIT-ROBO Rho GTPase-activating protein 3 OS=Homo sapiens GN=SRGAP3 - [SRGP3_HUMAN],5.02,3,3,4,7,39.13,5.02,4,4,3.72,3.81,3,3,1075,121.7,6.58,,,,,,,,
SNRNP200,O75643,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=1 SV=2 - [U520_HUMAN],2.39,3,4,4,7,38.29,2.39,4,4,2.01,1.83,3,3,2136,244.4,6.06,,,,,,,,
PAK3,O75914-2,Isoform 2 of Serine/threonine-protein kinase PAK 3 OS=Homo sapiens GN=PAK3 - [PAK3_HUMAN],11.76,5,1,4,7,45.11,11.76,4,4,2.07,9.38,3,3,544,60.7,5.52,,,,,,,,
GSN,P06396-2,Isoform 2 of Gelsolin OS=Homo sapiens GN=GSN - [GELS_HUMAN],6.02,9,4,4,7,57.39,6.02,4,4,2.48,4.79,3,3,731,80.6,5.85,,,,,,,,
PRPS2,P11908,Ribose-phosphate pyrophosphokinase 2 OS=Homo sapiens GN=PRPS2 PE=1 SV=2 - [PRPS2_HUMAN],11.32,10,3,3,7,50.59,11.32,3,4,4.52,11.32,3,3,318,34.7,6.61,,,,,,,,
ACAT1,P24752,"Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens GN=ACAT1 PE=1 SV=1 - [THIL_HUMAN]",8.9,3,3,3,7,76.69,8.9,3,4,2.72,7.03,2,3,427,45.2,8.85,,,,,,,,
MARK3,P27448-8,Isoform 7 of MAP/microtubule affinity-regulating kinase 3 OS=Homo sapiens GN=MARK3 - [MARK3_HUMAN],6.07,12,1,3,7,79.23,6.07,3,4,6.86,4.7,2,3,659,74.1,9.85,,,,,,,,
FUS,P35637-2,Isoform Short of RNA-binding protein FUS OS=Homo sapiens GN=FUS - [FUS_HUMAN],10.48,6,3,3,7,37.66,7.24,2,3,1.72,10.48,3,4,525,53.3,9.36,,,,,,,,
LGALS7,P47929,Galectin-7 OS=Homo sapiens GN=LGALS7 PE=1 SV=2 - [LEG7_HUMAN],18.38,1,2,2,7,87.39,18.38,2,3,2.1,18.38,2,4,136,15.1,7.62,,,,,,,,
EMD,P50402,Emerin OS=Homo sapiens GN=EMD PE=1 SV=1 - [EMD_HUMAN],11.81,2,2,2,7,0,11.81,2,3,0,11.81,2,4,254,29,5.5,,,,,,,,
CSE1L,P55060-4,Isoform 4 of Exportin-2 OS=Homo sapiens GN=CSE1L - [XPO2_HUMAN],5.9,4,3,4,7,76.4,5.9,4,5,4.51,3.5,2,2,915,103.8,6.11,,,,,,,,
PIP4K2B,P78356,Phosphatidylinositol 5-phosphate 4-kinase type-2 beta OS=Homo sapiens GN=PIP4K2B PE=1 SV=1 - [PI42B_HUMAN],9.62,6,3,3,7,123.62,5.53,2,3,4.87,9.62,3,4,416,47.3,7.33,,,,,,,,
USP10,Q14694,Ubiquitin carboxyl-terminal hydrolase 10 OS=Homo sapiens GN=USP10 PE=1 SV=2 - [UBP10_HUMAN],8.02,7,4,4,7,55.67,5.76,3,3,1.64,8.02,4,4,798,87.1,5.31,,,,,,,,
ITSN1,Q15811-4,Isoform 4 of Intersectin-1 OS=Homo sapiens GN=ITSN1 - [ITSN1_HUMAN],3.58,14,5,5,7,34.7,1.76,2,2,1.63,3.03,4,5,1650,187.7,7.94,,,,,,,,
STRIP1,Q5VSL9-2,Isoform 2 of Striatin-interacting protein 1 OS=Homo sapiens GN=STRIP1 - [STRP1_HUMAN],6.06,5,3,3,7,48.09,6.06,3,4,4.88,4.18,2,3,742,85.4,6.74,,,,,,,,
DHX30,Q7L2E3-3,Isoform 3 of Putative ATP-dependent RNA helicase DHX30 OS=Homo sapiens GN=DHX30 - [DHX30_HUMAN],6.41,4,5,5,7,43.29,3.03,2,2,5.69,6.41,5,5,1155,129.4,8.53,,,,,,,,
HOMER1,Q86YM7,Homer protein homolog 1 OS=Homo sapiens GN=HOMER1 PE=1 SV=2 - [HOME1_HUMAN],12.15,2,3,3,7,75.31,12.15,3,4,6.17,7.06,2,3,354,40.3,5.44,,,,,,,,
GBF1,Q92538,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 OS=Homo sapiens GN=GBF1 PE=1 SV=2 - [GBF1_HUMAN],1.61,2,1,2,7,77.61,1.61,2,4,1.9,0.32,1,3,1859,206.3,5.73,,,,,,,,
ACO2,Q99798,"Aconitate hydratase, mitochondrial OS=Homo sapiens GN=ACO2 PE=1 SV=2 - [ACON_HUMAN]",3.59,2,2,2,7,90.11,1.92,1,3,6.79,3.59,2,4,780,85.4,7.61,,,,,,,,
RTN4R,Q9BZR6,Reticulon-4 receptor OS=Homo sapiens GN=RTN4R PE=1 SV=1 - [RTN4R_HUMAN],12.05,3,3,3,7,75.18,12.05,3,4,5.25,9.73,2,3,473,50.7,8.87,,,,,,,,
NCOA5,Q9HCD5,Nuclear receptor coactivator 5 OS=Homo sapiens GN=NCOA5 PE=1 SV=2 - [NCOA5_HUMAN],14.68,2,4,4,7,38.21,14.68,4,4,0,11.92,3,3,579,65.5,9.6,,,,,,,,
VTA1,Q9NP79,Vacuolar protein sorting-associated protein VTA1 homolog OS=Homo sapiens GN=VTA1 PE=1 SV=1 - [VTA1_HUMAN],22.48,3,4,4,7,49.98,8.14,2,3,2.24,19.87,3,4,307,33.9,6.29,,,,,,,,
CRTAC1,Q9NQ79-3,Isoform 3 of Cartilage acidic protein 1 OS=Homo sapiens GN=CRTAC1 - [CRAC1_HUMAN],8.28,4,3,3,7,78.98,8.28,3,4,5.46,4.78,2,3,628,68,5.29,,,,,,,,
NCDN,Q9UBB6-2,Isoform 2 of Neurochondrin OS=Homo sapiens GN=NCDN - [NCDN_HUMAN],7.02,5,4,4,7,53.35,7.02,4,4,2.28,5.48,3,3,712,77.2,5.48,,,,,,,,
EXOC6B,Q9Y2D4,Exocyst complex component 6B OS=Homo sapiens GN=EXOC6B PE=1 SV=3 - [EXC6B_HUMAN],4.81,4,3,3,7,107.32,4.81,3,4,4.34,3.33,2,3,811,94.1,6.46,,,,,,,,
RPS20,P60866,40S ribosomal protein S20 OS=Homo sapiens GN=RPS20 PE=1 SV=1 - [RS20_HUMAN],19.33,4,2,2,6,42.73,19.33,2,3,2.35,19.33,2,3,119,13.4,9.94,,,,,,,,
RPL27,P61353,60S ribosomal protein L27 OS=Homo sapiens GN=RPL27 PE=1 SV=2 - [RL27_HUMAN],12.5,4,2,2,6,56.32,12.5,2,3,1.97,12.5,2,3,136,15.8,10.56,,,,,,,,
RAP1A,P62834,Ras-related protein Rap-1A OS=Homo sapiens GN=RAP1A PE=1 SV=1 - [RAP1A_HUMAN],14.67,1,1,2,6,77.02,14.67,2,3,1.98,14.67,2,3,184,21,6.67,,,,,,,,
PSMA5,P28066,Proteasome subunit alpha type-5 OS=Homo sapiens GN=PSMA5 PE=1 SV=3 - [PSA5_HUMAN],14.11,2,2,2,6,48.89,14.11,2,3,0,14.11,2,3,241,26.4,4.79,,,,,,,,
NDEL1,A6NIZ0,Nuclear distribution protein nudE-like 1 OS=Homo sapiens GN=NDEL1 PE=2 SV=4 - [A6NIZ0_HUMAN],8.92,15,2,2,6,71.89,8.92,2,3,1.88,8.92,2,3,269,30.6,4.97,,,,,,,,
FMR1,A8MQB8,Fragile X mental retardation protein 1 OS=Homo sapiens GN=FMR1 PE=2 SV=1 - [A8MQB8_HUMAN],4.47,14,2,3,6,44.63,4.47,3,3,0,4.47,3,3,582,65.8,7.62,,,,,,,,
NDUFA13,B4DEZ3,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 OS=Homo sapiens GN=NDUFA13 PE=2 SV=1 - [B4DEZ3_HUMAN],11.67,6,1,1,6,43.86,11.67,1,3,0,11.67,1,3,120,14.1,9.07,,,,,,,,
DNAJC11,B4DGD5,DnaJ homolog subfamily C member 11 OS=Homo sapiens GN=DNAJC11 PE=2 SV=1 - [B4DGD5_HUMAN],5.76,8,2,2,6,44.41,5.76,2,3,0,5.76,2,3,469,52.6,9.33,,,,,,,,
TSC2,B4DIL8,Tuberin OS=Homo sapiens GN=TSC2 PE=2 SV=1 - [B4DIL8_HUMAN],3.78,9,3,3,6,62.43,3.78,3,3,4.84,3.78,3,3,1692,187.8,6.93,,,,,,,,
ATP6V1G2,B5MEF0,"HCG2043423, isoform CRA_a OS=Homo sapiens GN=ATP6V1G2 PE=4 SV=1 - [B5MEF0_HUMAN]",27.27,4,1,1,6,24.16,27.27,1,3,0,27.27,1,3,77,9,9.04,,,,,,,,
ERLIN2,E5RHW4,Erlin-2 (Fragment) OS=Homo sapiens GN=ERLIN2 PE=2 SV=1 - [E5RHW4_HUMAN],7.1,7,2,2,6,68.48,7.1,2,3,3.73,7.1,2,3,338,37.7,5.62,,,,,,,,
RPL30,E5RI99,60S ribosomal protein L30 (Fragment) OS=Homo sapiens GN=RPL30 PE=2 SV=1 - [E5RI99_HUMAN],24.56,3,2,2,6,104.33,24.56,2,3,7.35,24.56,2,3,114,12.6,9.55,,,,,,,,
LPHN3,E7EMR3,Latrophilin-3 OS=Homo sapiens GN=LPHN3 PE=2 SV=1 - [E7EMR3_HUMAN],2.92,17,3,3,6,53.76,2.92,3,3,2.06,2.92,3,3,1231,138,7.01,,,,,,,,
ATP2B1,E7ERY9,Plasma membrane calcium-transporting ATPase 1 OS=Homo sapiens GN=ATP2B1 PE=2 SV=2 - [E7ERY9_HUMAN],3.12,33,2,2,6,67.39,3.12,2,3,5.09,3.12,2,3,963,106.8,6.87,,,,,,,,
DCAF7,E9PCY4,DDB1- and CUL4-associated factor 7 OS=Homo sapiens GN=DCAF7 PE=2 SV=1 - [E9PCY4_HUMAN],23.64,3,3,3,6,74.56,23.64,3,3,2.05,23.64,3,3,165,19.2,5.58,,,,,,,,
MAPK8IP3,E9PFH7,C-Jun-amino-terminal kinase-interacting protein 3 OS=Homo sapiens GN=MAPK8IP3 PE=2 SV=1 - [E9PFH7_HUMAN],2.48,3,2,2,6,33.89,2.48,2,3,6.72,2.48,2,3,1330,146.6,5.43,,,,,,,,
GAK,E9PGR2,Cyclin-G-associated kinase OS=Homo sapiens GN=GAK PE=2 SV=1 - [E9PGR2_HUMAN],4.38,7,4,4,6,75.55,3.33,3,3,2.6,3.57,3,3,1232,134.4,5.8,,,,,,,,
TLDC1,F5GWS3,Protein TLDC1 OS=Homo sapiens GN=TLDC1 PE=2 SV=1 - [F5GWS3_HUMAN],8.39,4,2,2,6,27.64,8.39,2,3,0,8.39,2,3,429,48,6.37,,,,,,,,
TRIM46,F5GYK0,Tripartite motif-containing protein 46 OS=Homo sapiens GN=TRIM46 PE=2 SV=1 - [F5GYK0_HUMAN],5.37,5,2,2,6,80.86,5.37,2,3,3.39,5.37,2,3,633,69.5,7.37,,,,,,,,
KIAA1715,F5H2Q7,Protein lunapark OS=Homo sapiens GN=KIAA1715 PE=2 SV=1 - [F5H2Q7_HUMAN],11.83,5,2,2,6,105.66,11.83,2,3,7.32,11.83,2,3,279,30.8,9.07,,,,,,,,
SH3GL2,F5H5J3,Endophilin-A1 OS=Homo sapiens GN=SH3GL2 PE=2 SV=1 - [F5H5J3_HUMAN],9.18,6,2,2,6,30.61,9.18,2,3,2.31,9.18,2,3,305,34.8,5.17,,,,,,,,
RAP1B,F5H823,Ras-related protein Rap-1b (Fragment) OS=Homo sapiens GN=RAP1B PE=2 SV=1 - [F5H823_HUMAN],26.21,10,1,2,6,78.31,26.21,2,3,2.09,26.21,2,3,103,11.9,5.55,,,,,,,,
POGZ,F5H8H4,Pogo transposable element with ZNF domain OS=Homo sapiens GN=POGZ PE=2 SV=1 - [F5H8H4_HUMAN],3.89,7,2,2,6,23.08,3.89,2,3,2.12,3.89,2,3,772,86,7.08,,,,,,,,
SRSF4,F6T1J1,Serine/arginine-rich-splicing factor 4 OS=Homo sapiens GN=SRSF4 PE=2 SV=1 - [F6T1J1_HUMAN],10.13,9,2,2,6,49.55,10.13,2,3,1.83,10.13,2,3,158,18.3,5.22,,,,,,,,
FTH1,G3V1D1,Ferritin OS=Homo sapiens GN=FTH1 PE=3 SV=1 - [G3V1D1_HUMAN],21.24,4,2,2,6,76.83,21.24,2,3,0,21.24,2,3,113,12.9,5.3,,,,,,,,
KIAA1549L,H0YDE5,UPF0606 protein KIAA1549L (Fragment) OS=Homo sapiens GN=KIAA1549L PE=4 SV=1 - [H0YDE5_HUMAN],5.14,4,2,2,6,42.2,5.14,2,3,2.69,5.14,2,3,836,90.4,9.64,,,,,,,,
LAMTOR1,H0YFI1,Ragulator complex protein LAMTOR1 (Fragment) OS=Homo sapiens GN=LAMTOR1 PE=4 SV=1 - [H0YFI1_HUMAN],16.46,5,1,1,6,76.19,16.46,1,3,6.31,16.46,1,3,79,8.7,5.39,,,,,,,,
MARS,H0YHV5,"Methionine--tRNA ligase, cytoplasmic (Fragment) OS=Homo sapiens GN=MARS PE=4 SV=1 - [H0YHV5_HUMAN]",12.88,5,1,3,6,44.18,7.73,2,3,0,10.3,2,3,233,26.7,4.83,,,,,,,,
PRICKLE2,H3BNU0,Prickle-like protein 2 OS=Homo sapiens GN=PRICKLE2 PE=2 SV=1 - [H3BNU0_HUMAN],9,3,4,4,6,92.17,4.22,2,2,3,9,4,4,900,101.9,7.8,,,,,,,,
VAC14,H3BUU8,Protein VAC14 homolog OS=Homo sapiens GN=VAC14 PE=2 SV=1 - [H3BUU8_HUMAN],13.93,2,2,2,6,45.66,13.93,2,3,1.88,13.93,2,3,201,22.4,9.44,,,,,,,,
EWSR1,H7BY36,RNA-binding protein EWS (Fragment) OS=Homo sapiens GN=EWSR1 PE=4 SV=1 - [H7BY36_HUMAN],9.42,8,2,2,6,21.25,9.42,2,3,2.1,9.42,2,3,308,32.2,9.82,,,,,,,,
PDIA3,H7BZJ3,Thioredoxin (Fragment) OS=Homo sapiens GN=PDIA3 PE=2 SV=1 - [H7BZJ3_HUMAN],32.52,1,1,3,6,72.71,32.52,3,3,4.39,32.52,3,3,123,13.5,7.3,,,,,,,,
APP,H7C0V9,Gamma-secretase C-terminal fragment 59 (Fragment) OS=Homo sapiens GN=APP PE=4 SV=1 - [H7C0V9_HUMAN],5.77,14,1,2,6,73.66,5.77,2,3,0,5.77,2,3,485,55.1,4.82,,,,,,,,
SNRPN,J3QLE5,Small nuclear ribonucleoprotein-associated protein N (Fragment) OS=Homo sapiens GN=SNRPN PE=4 SV=1 - [J3QLE5_HUMAN],8.88,7,2,2,6,68.06,8.88,2,3,0,8.88,2,3,169,17.5,9.99,,,,,,,,
TANC2,J3QQY7,Protein TANC2 (Fragment) OS=Homo sapiens GN=TANC2 PE=4 SV=1 - [J3QQY7_HUMAN],21.62,2,1,2,6,77.16,21.62,2,3,0,21.62,2,3,111,12,5.45,,,,,,,,
RPL36,J3QSB5,60S ribosomal protein L36 OS=Homo sapiens GN=RPL36 PE=3 SV=1 - [J3QSB5_HUMAN],23.4,3,2,2,6,27.37,23.4,2,4,0,10.64,1,2,94,10.8,11.6,,,,,,,,
VAMP2,K7ENK9,Vesicle-associated membrane protein 2 OS=Homo sapiens GN=VAMP2 PE=4 SV=1 - [K7ENK9_HUMAN],17.65,11,2,2,6,29.15,17.65,2,3,0,17.65,2,3,68,7.8,8.79,,,,,,,,
NOP56,O00567,Nucleolar protein 56 OS=Homo sapiens GN=NOP56 PE=1 SV=4 - [NOP56_HUMAN],4.04,4,2,2,6,32.7,4.04,2,3,2.1,4.04,2,3,594,66,9.19,,,,,,,,
SYN3,O14994,Synapsin-3 OS=Homo sapiens GN=SYN3 PE=1 SV=2 - [SYN3_HUMAN],5.17,1,2,2,6,141.08,5.17,2,3,4.77,5.17,2,3,580,63.3,9.39,,,,,,,,
